year,world_co2_gt
1900,1.96
1901,2.03
1902,2.08
1903,2.26
1904,2.29
1905,2.44
1906,2.55
1907,2.9
1908,2.79
1909,2.91
1910,3.05
1911,3.1
1912,3.25
1913,3.52
1914,3.2
1915,3.15
1916,3.4
1917,3.56
1918,3.51
1919,3.04
1920,3.55
1921,3.11
1922,3.26
1923,3.7
1924,3.72
1925,3.74
1926,3.68
1927,4.01
1928,4.0
1929,4.29
1930,3.96
1931,3.54
1932,3.19
1933,3.36
1934,3.66
1935,3.84
1936,4.21
1937,4.5
1938,4.23
1939,4.47
1940,4.88
1941,5.0
1942,4.98
1943,5.08
1944,5.16
1945,4.29
1946,4.61
1947,5.17
1948,5.45
1949,5.2
1950,5.93
1951,6.38
1952,6.47
1953,6.65
1954,6.79
1955,7.44
1956,7.93
1957,8.19
1958,8.42
1959,8.86
1960,9.39
1961,9.41
1962,9.75
1963,10.27
1964,10.82
1965,11.31
1966,11.86
1967,12.24
1968,12.91
1969,13.76
1970,14.9
1971,15.5
1972,16.22
1973,17.08
1974,17.0
1975,16.99
1976,17.86
1977,18.36
1978,19.02
1979,19.51
1980,19.41
1981,18.88
1982,18.73
1983,18.9
1984,19.46
1985,20.14
1986,20.44
1987,21.11
1988,21.92
1989,22.2
1990,22.73
1991,23.21
1992,22.52
1993,22.75
1994,22.97
1995,23.52
1996,24.23
1997,24.38
1998,24.3
1999,24.84
2000,25.51
2001,25.69
2002,26.27
2003,27.65
2004,28.61
2005,29.6
2006,30.59
2007,31.5
2008,32.05
2009,31.51
2010,33.32
2011,34.48
2012,34.95
2013,35.28
2014,35.47
2015,35.4
2016,35.39
2017,35.97
2018,36.73
2019,37.09
2020,35.16
2021,36.87
2022,37.53
2023,38.09
2024,38.6
