geo,country,peak_month_2022,peak_rate_pct,latest_month,latest_rate_pct
AL,Albania,2022-10,8.0,2026-07,3.4
AT,Austria,2022-10,11.6,2026-07,2.7
BE,Belgium,2022-10,13.1,2026-07,3.7
BG,Bulgaria,2022-09,15.6,2026-07,4.3
CH,Switzerland,2022-07,3.3,2026-07,0.7
CY,Cyprus,2022-07,10.6,2026-07,4.4
CZ,Czechia,2022-09,17.8,2026-07,1.3
DE,Germany,2022-10,11.6,2026-07,2.8
DK,Denmark,2022-10,11.4,2026-07,1.6
EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2022-10,10.6,2026-07,3.0
EA19,Euro area - 19 countries  (2015-2022),2022-10,10.6,2026-07,2.9
EA20,Euro area – 20 countries (2023-2025),2022-10,10.6,2026-07,2.9
EA21,Euro area – 21 countries (from 2026),2022-10,10.7,2026-07,2.9
EE,Estonia,2022-08,25.2,2026-07,2.0
EEA,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",2022-10,11.5,2026-07,3.0
EL,Greece,2022-09,12.1,2026-07,2.7
ES,Spain,2022-07,10.7,2026-07,3.9
EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2022-10,11.5,2026-07,3.0
EU27_2020,European Union - 27 countries (from 2020),2022-10,11.5,2026-07,3.0
FI,Finland,2022-11,9.1,2026-07,2.5
FR,France,2022-10,7.1,2026-07,2.4
HR,Croatia,2022-11,13.0,2026-07,3.6
HU,Hungary,2022-12,25.0,2026-07,1.6
IE,Ireland,2022-07,9.7,2026-07,3.1
IS,Iceland,2022-12,7.2,2026-07,5.6
IT,Italy,2022-10,12.6,2026-07,2.9
LT,Lithuania,2022-09,22.5,2026-07,5.4
LU,Luxembourg,2022-06,10.3,2026-07,3.4
LV,Latvia,2022-09,22.0,2026-07,2.4
ME,Montenegro,2022-11,15.8,2026-07,3.9
MK,North Macedonia,2022-10,19.4,2026-07,2.4
MT,Malta,2022-09,7.4,2026-07,2.1
NL,Netherlands,2022-09,17.1,2026-07,3.0
NO,Norway,2022-10,8.4,2026-07,2.9
PL,Poland,2022-10,16.4,2026-07,3.1
PT,Portugal,2022-10,10.6,2026-07,3.1
RO,Romania,2022-11,14.6,2026-07,8.2
RS,Serbia,2022-11,14.6,2026-07,2.2
SE,Sweden,2022-12,10.8,2026-07,0.3
SI,Slovenia,2022-07,11.7,2026-07,3.1
SK,Slovakia,2022-11,15.1,2026-07,3.2
TR,Türkiye,2022-10,85.4,2026-07,31.8
XK,Kosovo*,2022-07,14.2,2026-07,6.5
