month,Czechia,EU,Slovakia,Netherlands,Germany
2020-01,0.0,0.0,0.0,0.0,0.0
2020-02,-3.3,-0.4,-0.5,1.2,-1.1
2020-03,-2.7,-0.1,-1.3,2.8,-1.6
2020-04,-6.2,-0.8,1.5,-1.1,-1.4
2020-05,-10.8,-1.1,-2.8,0.3,-1.8
2020-06,-11.6,-1.5,-3.7,1.2,-3.2
2020-07,-9.6,-1.3,-5.3,2.1,-3.0
2020-08,-10.4,-1.5,-3.8,-0.4,-2.6
2020-09,-6.0,-1.7,-4.9,3.0,-4.7
2020-10,-5.1,-2.0,-3.7,1.5,-5.6
2020-11,-5.1,-1.5,-7.8,2.5,-3.6
2020-12,-6.4,-2.9,-4.5,0.2,-4.4
2021-01,-5.9,-1.8,-3.5,1.7,-1.9
2021-02,-8.8,-2.6,-3.2,1.7,-3.6
2021-03,-6.5,-1.6,-0.6,0.1,-0.6
2021-04,-6.2,-0.7,-0.6,1.0,1.1
2021-05,-9.2,-0.5,0.9,0.3,1.7
2021-06,-8.6,0.1,1.0,2.0,2.8
2021-07,-7.1,0.4,0.8,-0.8,2.8
2021-08,0.7,1.2,2.3,0.7,3.3
2021-09,2.9,0.3,-1.1,0.4,-0.4
2021-10,7.1,1.4,6.6,-0.2,-0.4
2021-11,20.4,5.5,16.2,1.9,8.2
2021-12,19.4,6.4,17.5,-0.0,11.8
2022-01,21.3,10.7,23.0,8.3,16.5
2022-02,18.5,10.9,22.2,9.6,16.1
2022-03,23.3,13.0,21.3,13.6,16.9
2022-04,23.4,17.7,25.5,13.3,32.7
2022-05,38.0,25.5,38.2,18.5,45.5
2022-06,42.4,29.5,39.0,28.1,50.0
2022-07,49.4,33.5,42.3,34.1,51.9
2022-08,55.1,36.2,44.5,35.2,53.9
2022-09,55.0,37.8,48.1,36.0,55.0
2022-10,62.0,39.9,48.5,38.9,54.7
2022-11,58.9,41.4,50.6,39.1,54.0
2022-12,53.1,41.6,51.0,36.7,56.1
2023-01,42.0,40.1,47.8,37.4,46.9
2023-02,24.6,32.9,45.7,38.4,25.9
2023-03,16.7,30.5,39.1,36.5,17.1
2023-04,15.7,27.9,34.1,28.0,12.9
2023-05,10.8,27.6,35.5,30.5,11.4
2023-06,9.2,26.6,30.3,31.0,10.4
2023-07,10.2,26.9,31.9,29.6,11.7
2023-08,8.6,25.4,32.4,29.3,9.3
2023-09,8.3,24.4,32.0,27.6,10.0
2023-10,13.6,25.1,30.8,23.5,12.0
2023-11,14.5,26.5,38.8,23.7,15.6
2023-12,18.7,25.4,40.9,21.3,15.2
2024-01,20.1,29.2,40.4,24.9,21.0
2024-02,12.8,28.3,33.4,27.5,21.6
2024-03,15.1,28.0,38.0,31.5,21.7
2024-04,12.2,29.6,32.9,27.2,24.5
2024-05,17.1,30.2,35.2,28.9,25.7
2024-06,21.7,32.1,41.6,27.9,29.0
2024-07,26.9,35.0,53.1,29.2,34.6
2024-08,33.0,37.1,62.3,34.8,37.0
2024-09,54.2,41.2,78.8,34.9,42.2
2024-10,59.7,48.8,98.9,38.4,56.4
2024-11,62.5,51.5,96.9,45.1,60.6
2024-12,70.8,52.0,88.5,35.8,60.6
2025-01,68.8,53.9,62.7,43.9,60.7
2025-02,59.8,53.3,64.5,52.7,57.1
2025-03,46.6,51.1,59.4,53.3,53.1
2025-04,44.5,48.7,65.9,39.2,48.9
2025-05,41.1,50.6,67.7,48.9,51.5
2025-06,51.9,51.3,88.2,48.6,50.8
2025-07,46.4,51.1,83.1,50.4,49.7
2025-08,48.0,51.5,79.4,49.2,50.3
2025-09,62.4,51.3,73.1,46.1,50.1
2025-10,47.1,46.5,70.0,46.8,37.6
2025-11,33.8,43.1,67.1,46.0,32.2
2025-12,20.9,35.9,59.9,38.8,18.5
2026-01,10.4,33.9,43.0,27.6,15.7
2026-02,8.7,30.7,34.3,18.5,12.5
2026-03,12.6,29.8,21.2,16.9,13.5
2026-04,8.1,29.0,28.4,16.0,15.2
2026-05,8.2,27.5,20.1,11.7,12.2
2026-06,-2.0,26.2,24.5,11.1,11.2
2026-07,-13.9,24.6,14.9,7.3,9.0
