month,Albania,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland
2020-01,5.1,-0.1,0.7,1.7,1.9,-1.2,14.2,1.4,-2.2,-2.1,-0.1,0.1,-2.6,-1.1,1.2,3.1,0.4,2.5,1.5,0.7,-2.3,-0.1,-0.5,0.3,1.1,2.4,1.2,-1.2,1.2,0.8,0.2,-5.0,0.4,0.6,-1.4
2020-02,2.8,0.5,-1.3,2.8,0.8,-3.3,9.5,0.9,2.3,1.4,-0.0,0.9,-2.4,1.4,1.5,-3.5,-1.6,3.4,-2.2,-0.8,-2.0,-0.2,-0.9,-0.3,1.1,6.2,1.2,-2.7,1.3,1.0,0.8,-5.5,0.8,-1.9,-0.7
2020-03,4.3,0.7,1.8,3.8,1.1,-2.5,-3.2,1.0,3.9,2.3,0.0,1.8,-1.4,-0.7,1.9,-2.9,-0.4,3.6,2.6,-1.3,-1.2,-0.2,-1.2,0.1,1.3,4.7,1.4,-3.9,1.8,0.8,0.6,-4.5,0.4,1.2,-0.8
2020-04,3.9,-2.5,1.7,1.9,-0.8,-2.1,6.8,0.7,3.1,-0.1,0.2,0.9,-1.0,3.0,2.8,-4.4,-0.2,2.6,0.4,-1.8,-4.6,1.6,-1.4,-4.6,2.0,5.7,0.8,-9.0,2.0,1.0,0.8,-7.2,1.4,0.8,0.4
2020-05,4.0,-5.0,1.0,3.9,-0.8,-1.9,0.6,-0.9,1.9,3.3,0.0,1.7,-1.1,1.8,5.1,-5.4,-0.3,2.2,3.9,-0.4,-3.9,2.4,-1.8,1.1,2.6,4.6,1.6,-2.8,2.7,1.4,-0.7,-3.1,1.6,1.6,-0.3
2020-06,3.9,0.8,2.0,3.9,0.1,0.2,6.1,0.3,2.7,4.4,0.3,2.2,-1.1,1.8,6.3,-5.6,-0.6,1.1,-0.3,-1.7,-4.4,3.4,-0.8,1.8,3.0,3.3,1.8,-6.3,2.8,0.1,0.5,-4.3,0.9,0.8,-0.7
2020-07,3.9,0.0,3.6,3.5,0.1,-0.5,12.1,2.2,4.8,5.5,0.3,0.1,-1.1,2.9,6.2,-7.0,-1.0,-0.5,2.1,0.8,-4.1,3.7,-0.7,1.3,2.2,8.5,1.6,-1.3,3.2,0.0,0.6,-4.3,0.9,4.5,0.1
2020-08,3.9,0.2,0.4,3.0,0.9,0.6,6.4,2.1,7.1,4.3,0.3,0.2,-1.0,3.3,5.9,-5.9,-1.2,0.3,4.0,-0.9,-4.0,3.8,-0.3,2.3,2.3,4.9,2.5,-2.7,3.2,0.4,-0.2,-4.1,1.2,3.8,0.9
2020-09,4.0,-1.0,1.9,3.0,0.7,-0.3,0.9,0.2,5.0,2.6,-0.2,-0.6,-1.6,1.5,6.6,-9.3,-3.4,-0.8,1.4,-3.7,-5.0,4.1,-0.7,-0.1,0.8,5.3,2.4,-1.1,3.6,-0.3,0.1,-3.4,0.9,4.1,-0.4
2020-10,3.7,0.2,0.2,2.5,-1.1,-5.8,2.4,0.9,1.7,0.4,-0.2,1.2,-1.1,2.5,7.0,-10.6,-3.7,0.2,2.1,1.7,-4.4,4.7,-0.5,3.5,3.0,3.2,1.9,0.1,4.0,0.6,1.1,-4.1,0.7,3.4,-1.0
2020-11,3.8,0.8,2.0,3.0,-0.3,-2.9,15.4,-2.1,2.4,1.9,0.0,0.9,-1.5,0.9,6.5,-9.9,-3.3,0.3,3.0,0.6,-3.3,3.6,-0.8,2.4,1.5,4.4,1.0,-2.6,4.5,1.4,0.6,-9.1,0.5,3.6,-1.9
2020-12,3.9,3.7,1.8,2.5,-4.0,-7.5,8.0,-0.5,1.7,0.2,0.0,0.9,-1.4,0.2,7.1,-10.7,-3.3,0.3,2.5,0.7,-3.3,4.6,-1.5,1.5,1.3,-9.2,1.7,-4.3,4.7,1.6,0.8,-10.0,-0.2,2.7,-0.8
2021-01,6.9,-12.1,4.0,3.6,1.3,-1.7,13.0,1.9,-0.3,1.8,-0.2,2.8,-1.3,2.6,9.1,-8.9,-3.9,1.0,4.7,-0.2,-2.8,3.6,1.3,2.6,2.4,-2.7,3.8,-1.6,5.1,1.8,1.6,-8.0,-0.1,4.2,-0.1
2021-02,5.2,-13.1,-0.7,2.6,-1.7,-1.0,9.3,1.4,2.7,4.3,-0.3,5.9,-0.9,3.3,9.3,-10.3,-5.5,0.8,-0.6,-2.4,-3.1,3.3,1.4,1.9,3.5,-4.4,4.0,-1.4,5.3,2.2,0.5,-8.4,-0.2,2.2,-0.7
2021-03,7.6,1.9,1.1,1.3,-0.6,-0.3,5.8,1.0,-0.3,4.7,0.1,5.1,-2.0,3.3,9.6,-10.0,-4.7,0.1,2.3,-2.6,-0.4,3.9,1.8,2.1,5.3,-7.5,3.4,-0.5,5.9,2.2,-1.9,-8.5,-0.5,2.1,-0.4
2021-04,5.7,-0.8,1.5,2.8,1.1,-2.4,13.5,0.6,1.5,3.5,0.2,6.6,-1.4,3.8,10.2,-6.2,-4.4,-0.5,3.8,-2.5,-0.1,5.1,2.9,1.9,5.5,-5.1,4.5,0.5,6.0,3.9,-1.3,-7.4,0.8,3.4,-1.6
2021-05,6.8,0.2,0.9,3.5,-0.9,0.4,13.1,1.4,1.5,5.5,0.2,5.2,-0.7,4.5,10.7,-6.8,-4.4,-0.8,0.9,0.2,-1.1,5.0,2.9,1.2,4.2,-7.3,4.7,1.9,6.3,4.2,-0.8,-9.1,0.8,2.9,-1.9
2021-06,5.7,-0.1,2.2,1.6,1.1,0.0,10.3,2.4,5.0,4.4,0.1,5.6,-0.8,5.1,10.2,-5.4,-4.0,0.7,1.9,1.1,-3.3,5.0,3.3,2.1,5.7,-8.8,4.5,-0.0,6.6,4.7,-1.9,-9.2,1.0,2.8,-2.0
2021-07,5.9,2.0,3.1,3.0,1.0,1.7,16.8,2.5,4.4,4.8,0.4,6.1,-0.4,5.2,9.6,-5.8,-3.8,1.4,-2.1,2.4,-1.7,5.0,2.8,2.3,5.1,-5.6,4.5,1.8,6.9,4.8,-1.8,-9.7,0.9,5.4,-0.8
2021-08,6.3,1.7,1.7,2.8,0.3,1.5,15.7,2.9,5.8,4.4,0.2,3.3,1.2,6.5,8.9,-4.7,-3.3,0.4,1.3,-0.5,-1.3,4.7,1.4,2.5,4.8,-8.1,6.0,2.0,7.4,5.1,0.8,-9.7,1.5,3.5,-1.2
2021-09,7.3,2.0,1.5,1.9,0.5,0.6,6.7,0.7,6.2,3.3,-0.5,5.0,2.7,3.8,8.8,-7.0,-5.1,0.1,2.1,-1.9,-2.3,5.2,0.9,2.1,3.9,-9.2,6.1,0.8,7.8,5.5,-1.7,-9.5,1.0,3.4,-1.1
2021-10,8.4,2.2,0.7,3.5,0.9,-0.2,10.4,0.9,2.7,3.0,-0.8,5.7,2.4,7.0,8.8,-8.4,-5.0,1.6,-0.3,1.6,-1.4,5.3,0.8,2.4,5.9,-11.9,5.2,1.2,8.2,5.8,0.3,-10.5,1.1,2.1,-2.1
2021-11,8.5,2.5,1.6,3.7,0.1,-0.1,14.9,2.0,4.9,2.8,-0.5,4.3,2.2,6.9,8.6,-7.5,-5.5,2.4,2.8,1.5,-2.2,4.4,0.9,2.2,6.6,-9.1,5.4,-1.9,8.5,5.7,-1.2,-10.2,1.1,0.5,-2.0
2021-12,8.5,2.2,3.0,3.4,-0.1,-4.2,11.3,-0.2,5.2,1.5,-0.2,4.8,2.5,4.9,9.0,-8.4,-4.7,2.2,1.5,1.4,-1.2,6.7,0.5,1.6,6.9,-15.8,5.1,-6.2,9.2,7.1,-1.2,-10.0,1.3,2.4,-1.6
2022-01,12.6,3.2,4.7,4.4,2.2,-3.4,14.6,2.1,5.0,5.1,-0.4,6.3,2.5,7.5,9.9,-5.1,-6.0,0.7,6.7,1.9,-1.0,7.3,1.5,4.5,7.8,-5.1,6.3,0.9,9.7,7.2,3.5,-8.0,1.3,3.8,-1.0
2022-02,9.9,-0.4,2.4,4.6,2.5,-2.0,16.3,2.6,5.8,5.9,-0.0,6.8,2.2,7.8,12.0,-6.6,-7.4,2.7,5.1,3.6,-0.3,8.6,1.5,3.7,8.4,-5.9,6.2,-0.9,10.1,9.0,2.1,-8.4,2.3,3.2,-2.6
