month,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Norway,Switzerland,Montenegro,North Macedonia,Albania,Serbia,Kosovo*,United States,United Kingdom,"Canada (StatCan CPI Coffee, % vs 2019 avg)"
2020-01,-2.3,1.3,-6.7,-3,0.7,-3.3,-7.8,-2.4,-0.3,-0.3,0.9,-0.7,1.5,1.1,2.5,0.3,-2.2,1,-0.6,2.2,0.8,-1.2,0.7,0.4,-1.6,0.1,4.4,-1,-1.2,-0.1,-0.4,0.1,-0.2,0.6,7.4,-1.2,1.3,-1.3
2020-02,-2.1,0.3,-1,-0.3,0.2,-2.7,-2.4,-3.7,0,0.1,-0.5,-1.3,0.2,-2,0.9,0.2,-1,1.4,-1,-0.7,0.4,-0.6,0.9,0.2,-0.7,3.6,8,-1.5,1.3,-2,0.7,0.3,0,1,7.3,-0.6,-2.5,0.5
2020-03,1.9,-0.2,3.2,-1.3,-0.7,-1.1,-2.1,-3.8,0.5,-0.1,-0.5,-0.5,-0.7,0.2,-2.3,1,-1,2.3,1.4,1.2,1.1,-0.5,1.2,0.5,-1.5,4.3,7.5,-0.6,2.7,1.1,0.8,-0.4,0,1,8,0.4,0.9,-0.7
2020-04,1.8,1.3,2.3,-1.4,-2.1,-1.8,-3.1,-2.2,0.9,-0.5,0.9,0.5,0.1,-1,2,3,0.1,2.4,1.4,1.6,1.2,1.9,1.2,1,-2.9,0.9,3,0.1,1.3,-1.2,0.5,-0.5,0,1,7.3,1.5,-4.6,-0.5
2020-05,1.9,-1,-2.6,1.7,0.1,0.4,-4,-2.3,1.3,0.1,-0.9,0.1,0.7,-1.6,0.8,2.6,-2.1,3.1,2.5,-2.5,1.5,1.5,1.7,0.9,-1.2,4.5,4.6,2,-0.6,1,1.3,-0.1,0,0.5,7.2,0.8,0.1,-1.5
2020-06,1,2.4,-1,0.3,0.4,-3.1,-5.8,-1.6,0.9,-0.2,1.1,-0.3,-1.1,0.2,2.3,1.8,-1.1,3.7,2.9,0.4,1.1,1.7,2,0.1,-0.8,4.7,1.9,3.1,-3.2,0.6,2.3,0.3,-0.1,0.7,7.5,2.3,-2.1,-1
2020-07,1.9,2.5,2.3,3.7,-1.7,-0.4,-4.3,-3.2,0.4,0.1,1.1,-0.9,-0.8,-0.5,-0.6,1.8,-0.3,3.8,0.7,2.8,1.1,0.2,2.1,1.5,-1.2,6.7,8,2.9,2.1,2.2,3.2,0.1,0,1,7.3,1,2.1,-0.9
2020-08,0.9,2.2,-0.6,1.3,-1.8,1.9,-2.6,-3.2,1.2,0,1.1,-1.3,-1,-0.5,0.7,3.2,-0.3,4,0.5,1.8,0.8,-0.2,2.1,0.9,-0.1,4.7,8.9,2.8,2.4,0.6,1.6,0.2,0,1.1,7.5,1.3,-8.2,-1.8
2020-09,0.4,2.9,-6.4,-1.1,-2.9,0.8,-3.1,-2.3,-0.1,-0.6,-0.8,-2.5,-1.6,2.4,-2,1.2,-0.7,2.6,0.9,0.1,0.2,0.7,2.3,0.9,-0.2,6.1,3.6,2.4,-0.4,2,1.2,0.4,-0.3,0.7,7.3,0.5,-5.5,-1
2020-10,0.1,2.5,-1.5,1.7,-1.1,-2.6,-5.3,-1.7,0.4,-0.6,0.6,-2.5,-2.1,0.9,-1.7,2.2,-0.8,2,-1.1,1.8,0.2,-0.7,2.2,0.7,0.1,6,4.8,3.5,-1.1,-1.8,1.5,0.4,0.1,0.8,7.3,1.5,-7.7,-0.9
2020-11,-0.7,1.9,-3,-2.2,-1.7,0.6,-3,-2.3,0.3,-0.4,-3,-2.6,-1.7,0.3,-4.1,1.2,-2.3,1.5,-0.2,0.5,0.6,-1.9,2.3,-0.8,-2.1,6.6,11.1,3.7,-2.9,0.2,2.3,0,0.1,0.8,7.7,-1.5,-8,-1.1
2020-12,-0.2,0.8,-6,-4.6,-3,-4.9,-2.3,-2.6,-0.4,-1.2,-2.1,-3.5,-2.7,2,-1.6,1.9,-1.8,0.1,-0.2,-1.8,-0.2,-0.7,2.4,-0.1,-0.8,1.6,-0.6,3.6,-9.6,-5,3.1,0.4,0.2,0.8,7.9,-0.1,-4.4,-0.6
2021-01,0.8,0.9,0.6,-2.1,0.7,-1.4,-7.8,-1.8,-0.5,-0.7,-0.3,-2,-1.8,-0.1,-0.7,1.3,-0.2,0.6,-2,-0.8,0.5,-0.3,2.5,-0.1,1.4,10,10.4,3.9,0.4,0.2,2.6,0.7,0.5,0.6,8.4,1.3,-6.9,-0.6
2021-02,-2.3,1.7,-1,-2.2,1.1,-1.5,-4.5,-2.5,-0.9,-0.6,-1.1,-2.3,-2.1,1.1,-3.5,1,0,1.5,-2.3,3.8,0.7,-0.2,2.6,-0.5,-1.6,9.4,7.9,3.9,0.7,-0.2,2.6,0.8,1,1.1,7.6,1.2,-9.7,-1
2021-03,0.1,2.6,-0.4,-3.7,0.8,-3.9,-4.3,-2.6,-0.5,-0.4,-1.4,-2.6,-2.6,-0.6,-0.4,0.4,0.8,0.4,-2.6,-4.3,0.7,-0.9,2.6,-0.4,-1.4,4.4,7.3,4.3,3.4,-1.9,3.3,1.2,1.3,0.5,7.9,1,-4.5,-3
2021-04,-1.1,1.4,2.4,-2.2,2.9,-1,-4.5,-2,0.3,-0.3,-0.7,-2,-3.6,-0.9,-3,1.5,0.7,1.5,-1.9,0.4,0.5,-0.6,2.8,0.9,-1.4,7.2,12.2,-1.4,-1.1,-0.1,3.1,0.2,1,0.1,7.5,1.4,-6.1,-3.6
2021-05,-1.1,2,-3.1,-1.6,1.8,-0.4,-4.6,-0.9,0.4,-0.9,-0.4,-2.7,-2.8,-0.6,0.7,1.3,1.3,2.7,-1.1,-1,1,0.1,3,0.4,-0.2,8.1,9,4.7,-4.4,-1.3,3.1,0.4,1,0.2,7.4,2.2,-5.8,0.8
2021-06,-0.5,3.2,3.5,-2.2,1.7,-0.8,-4.6,-1.7,0.2,-0.2,-1.2,-2.7,-3,-2.3,-1.7,1.8,0.2,2.5,-1.3,0.5,0.6,0,3.2,0,2.3,9.1,2,5.6,-1.9,-1,3.3,0.2,0.7,0.1,8.3,2.8,-8.1,0.4
2021-07,-1.2,2.3,1.9,0.5,2.4,-4.9,-2.5,-2.3,0.8,-0.2,0.9,-1.8,-1.3,-1.9,0.9,1.2,0.9,2.9,-0.7,0.3,1.3,0.3,3.5,1,0.9,13.5,13.5,5.6,1.6,-0.3,3.5,0.6,0.7,0.5,9.3,1.6,-4.4,-1.4
2021-08,-1.2,1.9,0.9,-1.5,1.6,-1,-4.5,-1.6,0,-0.1,-0.3,-2.2,-0.8,-3.8,0.1,2,0.6,3,-1.9,-1.6,1.2,0.1,4.1,0.7,0.5,10.4,11,5.5,0.3,-1.4,3.4,0.3,0.7,0.7,8,3.3,-4.2,-1.1
