year,cpi_inflation_pct
1948,7.67
1949,-0.98
1950,1.06
1951,7.94
1952,2.28
1953,0.76
1954,0.36
1955,-0.26
1956,1.47
1957,3.39
1958,2.73
1959,0.93
1960,1.49
1961,1.07
1962,1.18
1963,1.26
1964,1.32
1965,1.58
1966,2.99
1967,2.78
1968,4.24
1969,5.44
1970,5.88
1971,4.23
1972,3.27
1973,6.26
1974,11.01
1975,9.14
1976,5.77
1977,6.47
1978,7.63
1979,11.25
1980,13.5
1981,10.38
1982,6.16
1983,3.16
1984,4.37
1985,3.53
1986,1.94
1987,3.58
1988,4.1
1989,4.79
1990,5.42
1991,4.22
1992,3.04
1993,2.97
1994,2.6
1995,2.81
1996,2.94
1997,2.34
1998,1.55
1999,2.19
2000,3.37
2001,2.82
2002,1.6
2003,2.3
2004,2.67
2005,3.37
2006,3.22
2007,2.87
2008,3.81
2009,-0.32
2010,1.64
2011,3.14
2012,2.07
2013,1.47
2014,1.62
2015,0.12
2016,1.27
2017,2.13
2018,2.44
2019,1.81
2020,1.25
2021,4.68
2022,7.99
2023,4.13
2024,2.95
2025,2.63
