currency,2026-01-02,2026-02-02,2026-03-02,2026-04-01,2026-05-01,2026-06-01,2026-07-01,2026-08-03,2026-09-01,2026-09-09
AUD,1.4937,1.4394,1.4173,1.4381,1.399,1.394,1.4511,1.4272,1.4003,1.3841
BRL,5.4384,5.2552,5.2067,5.1598,4.9814,5.0245,5.1874,5.0675,5.1989,5.0889
CAD,1.3733,1.3646,1.367,1.3894,1.3668,1.383,1.4224,1.4028,1.3888,1.3768
CHF,0.79311,0.77694,0.77936,0.79199,0.78534,0.78379,0.81121,0.80798,0.81053,0.80707
CNY,6.9937,6.9434,6.8825,6.8738,6.8287,6.7651,6.7945,6.7526,6.7223,6.7078
EUR,0.85317,0.84459,0.85485,0.8617,0.85455,0.85866,0.8785,0.86693,0.86281,0.85822
GBP,0.74388,0.73125,0.74705,0.75065,0.74026,0.74268,0.75528,0.74238,0.73904,0.7372
INR,90.2,91.57,91.74,93.43,94.92,94.99,95.25,95.34,94.95,95.11
JPY,156.93,155.06,157.45,158.32,156.56,159.49,162.71,156.68,160.16,153.27
KRW,1444.87,1452.48,1462.11,1504.81,1477.0,1508.64,1558.09,1427.05,1374.61,1336.2
MXN,17.9396,17.4096,17.3491,17.8535,17.5158,17.327,17.5341,17.3207,17.0009,16.9025
NOK,10.0661,9.6837,9.5666,9.6579,9.3252,9.2637,9.9381,9.5332,9.3343,9.1808
PLN,3.5938,3.5619,3.628,3.6875,3.6408,3.6347,3.7739,3.7306,3.7371,3.7035
SEK,9.2215,8.9472,9.1537,9.3822,9.2766,9.2641,9.7474,9.5228,9.5897,9.5687
TRY,43.028,43.492,43.959,44.467,45.185,45.894,46.672,47.536,48.274,48.478
