month,Germany,Slovakia,Czechia,Romania,EU,United States (BLS)
2020-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-02,1.7,0.8,-4.1,-0.7,0.0,0.3
2020-03,1.7,1.1,-4.1,-2.4,0.1,2.0
2020-04,1.8,0.7,-6.0,-3.6,-0.0,17.3
2020-05,1.9,-0.8,-2.0,-4.6,0.0,7.9
2020-06,2.3,0.4,-2.7,-5.1,-0.1,2.7
2020-07,0.2,-2.6,-1.0,-5.3,-0.4,-1.3
2020-08,0.4,-2.0,-3.5,-4.8,-0.5,-3.6
2020-09,0.4,-0.4,-8.5,-3.2,-0.6,-2.8
2020-10,0.3,-0.9,-11.9,-1.9,-0.7,-1.4
2020-11,0.8,-0.8,-5.1,0.1,-0.0,-0.1
2020-12,0.6,-1.0,-8.3,2.3,-0.1,0.7
2021-01,2.5,-0.8,0.3,2.7,0.7,0.8
2021-02,2.2,1.0,-8.4,1.9,0.3,4.6
2021-03,2.5,2.5,-3.8,0.5,0.4,6.7
2021-04,4.1,1.8,-7.0,-0.7,0.7,6.9
2021-05,7.1,5.0,-10.7,-1.8,1.2,4.1
2021-06,7.5,4.3,-1.7,-2.4,1.6,3.7
2021-07,9.9,2.3,-5.0,-2.5,2.0,4.3
2021-08,12.6,1.4,2.0,-2.1,2.9,6.0
2021-09,13.8,4.0,-5.8,0.0,3.5,9.5
2021-10,14.9,5.5,-3.5,3.6,4.6,10.0
2021-11,15.6,10.2,-4.6,5.8,5.5,7.9
2021-12,16.0,12.2,-9.8,8.4,5.9,11.9
2022-01,17.2,15.5,2.0,11.0,7.5,14.1
2022-02,18.9,16.4,-2.1,11.8,8.0,16.6
2022-03,19.9,17.6,-1.9,12.3,9.4,18.7
2022-04,29.4,22.4,6.3,15.2,15.6,31.0
2022-05,33.5,23.8,19.6,14.5,19.9,37.6
2022-06,35.9,27.4,18.2,14.6,21.5,38.0
2022-07,36.1,30.0,14.8,15.4,22.2,43.9
2022-08,36.6,31.0,17.6,17.8,23.4,48.1
2022-09,36.9,34.6,16.2,21.1,25.1,42.8
2022-10,37.6,47.7,47.5,29.1,30.4,57.3
2022-11,38.2,76.9,64.1,38.4,35.3,61.0
2022-12,38.7,96.5,73.7,46.9,38.0,78.8
2023-01,38.1,106.6,88.5,48.5,40.1,94.0
2023-02,38.7,108.1,91.0,50.4,41.7,81.1
2023-03,39.3,110.5,72.1,50.3,42.1,61.4
2023-04,40.5,108.3,50.0,50.5,41.9,59.0
2023-05,40.4,108.9,58.2,48.6,42.1,37.1
2023-06,40.1,99.6,52.3,47.8,41.6,27.1
2023-07,40.5,87.7,47.2,47.7,41.2,24.3
2023-08,40.9,83.1,37.5,41.0,39.0,21.1
2023-09,41.1,84.0,24.9,41.2,38.3,22.2
2023-10,40.8,83.9,38.3,42.9,38.8,22.4
2023-11,40.8,86.1,22.2,44.1,38.2,25.1
2023-12,41.6,82.0,21.1,46.0,38.5,36.2
2024-01,41.9,81.1,23.7,47.5,39.2,38.6
2024-02,41.9,85.3,32.4,46.9,38.9,50.3
2024-03,42.0,81.5,24.5,44.2,38.1,50.5
2024-04,42.3,73.7,26.7,42.7,38.1,44.7
2024-05,42.2,75.9,20.9,41.3,37.8,41.2
2024-06,42.4,71.2,21.3,40.7,37.5,40.1
2024-07,42.3,58.7,22.0,40.6,37.3,48.0
2024-08,42.9,71.7,14.4,40.9,37.4,55.1
2024-09,42.4,78.5,13.0,41.6,37.4,70.6
2024-10,42.7,80.3,30.5,42.9,38.1,59.5
2024-11,42.8,141.1,60.9,44.8,40.7,72.0
2024-12,42.8,131.3,65.1,49.5,43.1,86.4
2025-01,43.6,136.8,54.3,49.7,43.7,112.1
2025-02,44.4,123.1,57.1,49.3,44.3,138.6
2025-03,45.2,138.9,81.8,48.8,47.0,141.5
2025-04,46.0,139.7,73.8,48.7,48.8,116.1
2025-05,46.7,133.4,74.5,47.6,49.4,99.8
2025-06,46.8,131.6,70.3,48.0,49.5,78.3
2025-07,46.8,137.2,58.9,48.6,49.5,72.3
2025-08,46.8,136.5,50.3,53.2,49.8,72.0
2025-09,46.8,137.6,56.7,54.3,50.2,68.4
2025-10,47.1,142.6,64.8,55.8,51.8,
2025-11,47.4,157.4,88.9,58.4,54.6,49.2
2025-12,47.5,162.3,80.0,65.4,55.9,47.5
2026-01,61.0,156.4,74.9,69.2,59.2,39.6
2026-02,64.1,151.5,83.0,70.7,60.6,38.3
2026-03,64.8,143.3,92.0,70.6,62.1,33.6
2026-04,65.7,142.8,84.6,70.7,62.6,31.4
2026-05,66.3,134.9,91.9,68.5,62.8,29.5
2026-06,66.9,135.5,54.0,68.3,61.8,28.5
2026-07,67.2,126.3,36.6,69.2,61.5,27.9
