month,Albania,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,United States
2020-01,-2.5,0.8,2.3,1.0,0.1,4.7,5.5,-0.5,1.0,-1.2,0.1,1.0,-2.0,4.2,-1.6,0.1,0.9,6.6,1.0,2.7,-0.4,-0.7,1.5,2.5,-1.1,-5.3,0.9,-1.6,5.9,1.7,4.9,2.0,0.4,-0.3,-0.2,2.4
2020-02,-3.7,1.3,2.5,1.0,-0.8,-0.9,1.1,-2.3,-1.9,-0.5,0.1,2.6,-0.8,4.8,-0.2,-1.8,1.0,3.0,-1.9,2.5,0.9,-0.7,1.7,2.4,-0.8,-2.4,0.7,-1.9,5.1,2.2,5.7,2.4,0.3,-0.2,0.3,2.7
2020-03,-1.5,1.2,2.6,1.9,-2.0,-0.9,1.2,-2.9,-2.6,0.1,0.3,2.7,-1.3,4.7,0.1,-0.9,1.6,3.6,2.2,3.5,1.6,-0.6,1.7,3.0,-0.1,-4.9,0.8,-1.9,3.3,2.2,6.0,3.0,0.5,1.6,0.8,4.4
2020-04,-1.3,1.8,1.0,5.8,0.2,0.5,-0.9,-2.8,-3.0,-0.5,0.1,2.7,-1.6,7.7,0.6,-1.8,2.9,10.8,-4.6,-0.8,2.7,-0.5,1.7,3.1,0.7,-2.9,-0.7,-2.6,2.0,4.3,5.6,0.8,0.9,-1.5,0.9,20.1
2020-05,-1.8,-1.8,2.3,-1.2,-2.8,2.4,3.3,1.6,-1.3,0.2,0.1,2.9,-1.6,4.2,0.9,-1.8,2.2,7.6,1.3,0.2,2.9,1.2,1.3,3.5,0.2,-10.1,1.0,-0.1,1.0,4.4,4.1,1.3,0.6,3.0,0.1,10.5
2020-06,-3.0,1.5,2.0,-4.3,-1.4,2.1,2.5,-0.8,-0.5,0.5,-0.0,3.3,-0.9,4.5,0.6,-0.1,2.2,-6.8,-1.0,-1.2,2.0,1.5,0.3,3.6,-0.3,-8.3,1.4,-1.9,0.4,3.4,5.3,-2.6,-0.3,0.5,0.4,5.2
2020-07,-2.6,1.1,1.6,-4.1,-0.7,1.6,4.4,2.3,-0.2,0.3,0.3,1.1,-1.2,6.5,2.2,0.1,2.1,-16.7,-0.5,-2.0,1.0,1.8,0.8,3.4,-0.3,0.9,0.6,-1.5,0.3,2.2,2.2,-1.6,-0.2,0.1,-0.0,1.1
2020-08,-2.1,1.3,1.3,-2.9,-2.2,1.1,1.7,0.2,-3.3,0.5,0.2,1.3,-2.6,7.4,2.0,0.1,1.8,-17.9,-0.6,-4.6,2.5,1.0,0.8,3.4,-0.7,-0.5,0.2,-2.6,0.8,3.3,2.8,-0.3,-0.2,0.9,-0.4,-1.3
2020-09,0.1,2.1,0.6,-0.7,-2.7,2.2,-3.5,-2.8,-3.6,0.9,0.0,1.3,-3.4,7.5,1.3,0.0,1.3,-17.8,-0.5,-3.1,1.6,2.2,1.3,4.1,-1.3,-2.4,0.4,-1.7,2.5,3.1,4.4,-1.4,-0.6,1.2,-0.5,-0.4
2020-10,-0.7,2.0,0.7,-0.8,-0.0,1.1,-7.1,-1.1,-3.5,0.7,-0.2,1.2,-1.5,6.6,2.9,0.0,0.9,0.5,-0.2,-3.4,1.8,2.0,0.3,4.2,-1.5,-2.8,-0.2,-1.5,3.9,1.2,3.9,-1.0,-0.3,0.1,-0.3,0.9
