year,china_twh,us_twh
1985,410.69,2657.15
1986,449.53,2676.113
1987,497.267,2772.205
1988,545.21,2914.446
1989,584.81,3155.45
1990,621.2,3232.78
1991,677.55,3270.724
1992,753.94,3284.39
1993,811.59,3404.678
1994,927.8,3458.526
1995,1007.03,3567.331
1996,1081.31,3663.386
1997,1135.55,3716.377
1998,1167.0,3855.808
1999,1239.3,3936.098
2000,1355.6,3802.1
2001,1480.79,3727.57
2002,1654.01,3844.23
2003,1910.58,3868.94
2004,2203.31,3951.95
2005,2500.26,4034.99
2006,2865.72,4046.94
2007,3281.54,4142.57
2008,3495.76,4107.53
2009,3714.64,3939.82
2010,4207.16,4113.94
2011,4713.02,4088.87
2012,4987.54,4040.67
2013,5431.63,4055.61
2014,5794.45,4096.01
2015,5814.58,4083.99
2016,6133.16,4087.56
2017,6604.44,4052.31
2018,7166.14,4201.55
2019,7503.43,4158.38
2020,7779.07,4043.18
2021,8534.26,4153.62
2022,8848.71,4286.89
2023,9456.45,4253.91
2024,10086.88,4391.02
2025,10583.36,4519.79
