food,y2020,y2021,y2022,y2023,y2024,y2025,y2026_jan_jul,total_jul2020_jul2026
Eggs,0.6,6,30.3,0.4,3.3,9,3.6,62.2
Chocolate,0.8,1.4,9.5,9.5,12.4,15.3,1.6,59.2
Frozen fruit,1.6,11.4,15.4,-5,4.3,20.5,2.3,57.3
Coffee,-0.4,4.3,17.3,3.4,6.7,18.4,0.2,56.9
Margarine,-0.5,10.6,38.8,-2.4,-1.6,0.8,2.8,49.1
Tomatoes and peppers,1.8,10.4,11.3,10.4,1.6,5.5,-11.5,45.7
Milk,1.9,4.6,31.3,-3.4,4.2,3.3,-1.9,39.8
Sugar,3,8.7,56.6,2.6,-14,-3.4,-3.4,39.8
Fresh fish,1.8,4.6,12.9,3.8,3.3,3.9,2.9,37.2
Cheese,0.6,3.7,26.9,1.1,2.3,1.7,-0.9,36.6
Yoghurt,0.3,4.2,26.2,1.4,1.4,1.5,-1.3,35.3
Ice cream,1,1.9,15.7,11.4,0.5,2.4,-1.6,35.3
Berries,3.7,8.4,3.5,17.9,0,-1.1,1.1,33
Leafy vegetables,-3,7.3,10.4,12.8,0.5,-4.8,1,31.4
Pasta,2,8.6,22.3,1.5,-1.5,-1.8,-0.7,28.8
Breakfast cereals,1.2,1.8,13.5,10,0.7,-0.5,0.5,27.8
Cured meat,2.9,1.5,15.1,5.7,1.4,2.3,0.1,27.8
Citrus fruit,2,4.1,11.7,6.7,3,4.3,8.9,27.8
Pulses,4,2.3,14.4,6.5,1.7,-0.2,-0.3,27.5
Butter,-1.9,9.5,33.1,-11.5,21.2,-10.6,-8.3,26.2
Tea,-0.6,1.8,9.7,7.6,2.6,0.7,1.3,23.5
Apples and pears,10.9,4.1,3.2,10.5,2.7,4.3,-1.5,17.7
Nuts,0.5,1.3,7.5,1.8,0.6,5.4,0.8,16.7
