month,eu_food_inflation_pct
2000-12,3.3
2001-01,3.8
2001-02,3.9
2001-03,5.1
2001-04,5.8
2001-05,7.1
2001-06,7.4
2001-07,7.0
2001-08,6.5
2001-09,6.5
2001-10,6.6
2001-11,6.1
2001-12,6.3
2002-01,7.2
2002-02,6.4
2002-03,5.5
2002-04,4.6
2002-05,3.1
2002-06,2.3
2002-07,2.0
2002-08,2.1
2002-09,2.1
2002-10,1.9
2002-11,1.9
2002-12,1.6
2003-01,0.5
2003-02,1.0
2003-03,1.3
2003-04,1.4
2003-05,1.5
2003-06,2.3
2003-07,2.6
2003-08,2.8
2003-09,3.4
2003-10,3.3
2003-11,3.5
2003-12,3.2
2004-01,3.1
2004-02,2.7
2004-03,2.5
2004-04,2.5
2004-05,2.5
2004-06,2.4
2004-07,2.4
2004-08,2.0
2004-09,1.1
2004-10,1.0
2004-11,0.8
2004-12,1.3
2005-01,0.7
2005-02,1.3
2005-03,1.4
2005-04,1.0
2005-05,1.2
2005-06,0.8
2005-07,0.5
2005-08,1.0
2005-09,1.0
2005-10,1.2
2005-11,1.4
2005-12,1.4
2006-01,1.8
2006-02,1.8
2006-03,1.4
2006-04,1.8
2006-05,2.0
2006-06,2.2
2006-07,2.7
2006-08,3.0
2006-09,3.3
2006-10,3.0
2006-11,3.2
2006-12,2.8
2007-01,2.8
2007-02,2.3
2007-03,2.3
2007-04,2.9
2007-05,2.4
2007-06,2.4
2007-07,2.5
2007-08,2.8
2007-09,3.4
2007-10,4.9
2007-11,5.5
2007-12,6.0
2008-01,6.6
2008-02,6.9
2008-03,7.4
2008-04,7.1
2008-05,7.6
2008-06,7.7
2008-07,7.8
2008-08,7.0
2008-09,6.2
2008-10,5.2
2008-11,4.0
2008-12,3.5
2009-01,2.9
2009-02,2.7
2009-03,2.2
2009-04,1.6
2009-05,0.9
2009-06,0.3
2009-07,-0.4
2009-08,-0.7
2009-09,-0.9
2009-10,-1.3
2009-11,-1.0
2009-12,-1.1
2010-01,-1.0
2010-02,-0.9
2010-03,-0.4
2010-04,-0.1
2010-05,-0.2
2010-06,0.3
2010-07,1.1
2010-08,1.5
2010-09,1.8
2010-10,2.1
2010-11,2.3
2010-12,2.6
2011-01,2.4
2011-02,2.9
2011-03,3.1
2011-04,3.1
2011-05,3.9
2011-06,3.5
2011-07,3.0
2011-08,2.8
2011-09,2.7
2011-10,2.9
2011-11,3.0
2011-12,2.8
2012-01,2.8
2012-02,2.9
2012-03,2.7
2012-04,2.4
2012-05,2.0
2012-06,2.8
2012-07,2.7
2012-08,3.1
2012-09,3.3
2012-10,3.5
2012-11,3.3
2012-12,3.5
2013-01,3.6
2013-02,2.9
2013-03,2.7
