country,peak_mar_2023_pct,jul_2026_pct
Hungary,45.1,-5.0
Slovakia,29.1,-2.6
Lithuania,27.5,-1.1
Estonia,25.5,-2.1
Poland,25.1,-0.7
Czechia,24.8,-3.7
Latvia,24.3,-3.4
Germany,22.9,0.5
Bulgaria,22.2,1.1
Romania,22.2,4.2
Sweden,21.0,-6.6
Belgium,20.7,-0.1
Portugal,20.0,2.3
Slovenia,19.7,-0.4
Netherlands,18.4,-0.3
Croatia,18.3,-0.4
Finland,17.7,0.0
France,17.1,1.0
Spain,16.6,1.7
Denmark,16.2,-2.1
Austria,14.6,-0.5
Greece,14.1,-0.4
Luxembourg,13.5,1.3
Ireland,13.3,0.6
Malta,13.3,1.4
Italy,13.2,1.3
Cyprus,6.1,4.3
