year,month,anomaly_c
1880,Jan,-0.19
1880,Feb,-0.25
1880,Mar,-0.1
1880,Apr,-0.17
1880,May,-0.1
1880,Jun,-0.22
1880,Jul,-0.19
1880,Aug,-0.11
1880,Sep,-0.15
1880,Oct,-0.24
1880,Nov,-0.23
1880,Dec,-0.19
1881,Jan,-0.2
1881,Feb,-0.16
1881,Mar,0.02
1881,Apr,0.04
1881,May,0.06
1881,Jun,-0.19
1881,Jul,0.01
1881,Aug,-0.04
1881,Sep,-0.16
1881,Oct,-0.22
1881,Nov,-0.19
1881,Dec,-0.07
1882,Jan,0.15
1882,Feb,0.13
1882,Mar,0.04
1882,Apr,-0.16
1882,May,-0.14
1882,Jun,-0.23
1882,Jul,-0.17
1882,Aug,-0.08
1882,Sep,-0.15
1882,Oct,-0.24
1882,Nov,-0.17
1882,Dec,-0.37
1883,Jan,-0.3
1883,Feb,-0.37
1883,Mar,-0.13
1883,Apr,-0.18
1883,May,-0.18
1883,Jun,-0.07
1883,Jul,-0.08
1883,Aug,-0.14
1883,Sep,-0.22
1883,Oct,-0.11
1883,Nov,-0.24
1883,Dec,-0.12
1884,Jan,-0.13
1884,Feb,-0.08
1884,Mar,-0.37
1884,Apr,-0.4
1884,May,-0.34
1884,Jun,-0.35
1884,Jul,-0.31
1884,Aug,-0.28
1884,Sep,-0.27
1884,Oct,-0.25
1884,Nov,-0.34
1884,Dec,-0.31
1885,Jan,-0.59
1885,Feb,-0.34
1885,Mar,-0.27
1885,Apr,-0.42
1885,May,-0.45
1885,Jun,-0.44
1885,Jul,-0.34
1885,Aug,-0.31
1885,Sep,-0.28
1885,Oct,-0.23
1885,Nov,-0.24
1885,Dec,-0.1
1886,Jan,-0.44
1886,Feb,-0.51
1886,Mar,-0.43
1886,Apr,-0.28
1886,May,-0.24
1886,Jun,-0.35
1886,Jul,-0.19
1886,Aug,-0.31
1886,Sep,-0.24
1886,Oct,-0.28
1886,Nov,-0.28
1886,Dec,-0.25
1887,Jan,-0.72
1887,Feb,-0.57
1887,Mar,-0.36
1887,Apr,-0.35
1887,May,-0.31
1887,Jun,-0.25
1887,Jul,-0.26
1887,Aug,-0.36
1887,Sep,-0.26
1887,Oct,-0.35
1887,Nov,-0.26
1887,Dec,-0.33
1888,Jan,-0.34
1888,Feb,-0.37
1888,Mar,-0.42
1888,Apr,-0.21
1888,May,-0.22
1888,Jun,-0.17
1888,Jul,-0.11
1888,Aug,-0.16
1888,Sep,-0.12
1888,Oct,0.01
1888,Nov,0.02
1888,Dec,-0.05
1889,Jan,-0.1
1889,Feb,0.16
1889,Mar,0.06
1889,Apr,0.09
1889,May,-0.01
1889,Jun,-0.1
1889,Jul,-0.08
1889,Aug,-0.21
1889,Sep,-0.24
1889,Oct,-0.26
1889,Nov,-0.34
1889,Dec,-0.3
1890,Jan,-0.42
1890,Feb,-0.45
1890,Mar,-0.41
1890,Apr,-0.3
1890,May,-0.39
1890,Jun,-0.25
1890,Jul,-0.28
1890,Aug,-0.39
1890,Sep,-0.36
1890,Oct,-0.25
1890,Nov,-0.44
1890,Dec,-0.32
1891,Jan,-0.34
1891,Feb,-0.46
1891,Mar,-0.18
1891,Apr,-0.27
1891,May,-0.16
1891,Jun,-0.21
1891,Jul,-0.18
1891,Aug,-0.17
1891,Sep,-0.15
1891,Oct,-0.22
1891,Nov,-0.32
1891,Dec,-0.04
1892,Jan,-0.29
1892,Feb,-0.12
1892,Mar,-0.4
1892,Apr,-0.33
1892,May,-0.23
1892,Jun,-0.22
1892,Jul,-0.31
1892,Aug,-0.27
1892,Sep,-0.17
1892,Oct,-0.14
1892,Nov,-0.42
1892,Dec,-0.39
1893,Jan,-0.81
1893,Feb,-0.57
1893,Mar,-0.22
1893,Apr,-0.28
1893,May,-0.34
1893,Jun,-0.25
1893,Jul,-0.14
1893,Aug,-0.25
1893,Sep,-0.22
1893,Oct,-0.18
1893,Nov,-0.19
1893,Dec,-0.32
1894,Jan,-0.53
1894,Feb,-0.29
1894,Mar,-0.23
1894,Apr,-0.45
1894,May,-0.31
1894,Jun,-0.41
1894,Jul,-0.24
1894,Aug,-0.24
1894,Sep,-0.28
1894,Oct,-0.23
1894,Nov,-0.26
1894,Dec,-0.21
1895,Jan,-0.41
1895,Feb,-0.43
1895,Mar,-0.33
1895,Apr,-0.22
1895,May,-0.27
1895,Jun,-0.21
1895,Jul,-0.17
1895,Aug,-0.17
1895,Sep,-0.12
1895,Oct,-0.1
1895,Nov,-0.17
1895,Dec,-0.15
1896,Jan,-0.23
1896,Feb,-0.13
1896,Mar,-0.26
1896,Apr,-0.31
1896,May,-0.16
1896,Jun,-0.11
1896,Jul,-0.03
1896,Aug,-0.05
1896,Sep,-0.07
1896,Oct,0.06
1896,Nov,-0.05
1896,Dec,-0.05
1897,Jan,-0.15
1897,Feb,-0.17
1897,Mar,-0.14
1897,Apr,-0.03
1897,May,-0.02
1897,Jun,-0.12
1897,Jul,-0.03
1897,Aug,-0.09
1897,Sep,-0.08
1897,Oct,-0.13
1897,Nov,-0.19
1897,Dec,-0.21
1898,Jan,-0.04
1898,Feb,-0.31
1898,Mar,-0.51
1898,Apr,-0.3
1898,May,-0.3
1898,Jun,-0.19
1898,Jul,-0.22
1898,Aug,-0.27
1898,Sep,-0.22
1898,Oct,-0.35
1898,Nov,-0.38
1898,Dec,-0.24
1899,Jan,-0.17
1899,Feb,-0.38
1899,Mar,-0.36
1899,Apr,-0.2
1899,May,-0.23
1899,Jun,-0.31
1899,Jul,-0.15
1899,Aug,-0.08
1899,Sep,-0.04
1899,Oct,-0.04
1899,Nov,0.12
1899,Dec,-0.27
1900,Jan,-0.37
1900,Feb,-0.06
1900,Mar,0.0
1900,Apr,-0.09
1900,May,-0.09
1900,Jun,-0.1
1900,Jul,-0.13
1900,Aug,-0.09
1900,Sep,-0.05
1900,Oct,0.09
1900,Nov,-0.07
1900,Dec,-0.07
1901,Jan,-0.23
1901,Feb,-0.11
1901,Mar,0.06
1901,Apr,-0.03
1901,May,-0.15
1901,Jun,-0.12
1901,Jul,-0.14
1901,Aug,-0.2
1901,Sep,-0.22
1901,Oct,-0.29
1901,Nov,-0.17
1901,Dec,-0.28
1902,Jan,-0.17
1902,Feb,-0.09
1902,Mar,-0.27
1902,Apr,-0.27
1902,May,-0.32
1902,Jun,-0.32
1902,Jul,-0.28
1902,Aug,-0.3
1902,Sep,-0.29
1902,Oct,-0.3
1902,Nov,-0.37
1902,Dec,-0.43
1903,Jan,-0.25
1903,Feb,-0.06
1903,Mar,-0.24
1903,Apr,-0.41
1903,May,-0.4
1903,Jun,-0.43
1903,Jul,-0.35
1903,Aug,-0.45
1903,Sep,-0.49
1903,Oct,-0.46
1903,Nov,-0.42
1903,Dec,-0.51
1904,Jan,-0.64
1904,Feb,-0.59
1904,Mar,-0.51
1904,Apr,-0.51
1904,May,-0.52
1904,Jun,-0.48
1904,Jul,-0.51
1904,Aug,-0.49
1904,Sep,-0.56
1904,Oct,-0.39
1904,Nov,-0.18
1904,Dec,-0.34
1905,Jan,-0.35
1905,Feb,-0.6
1905,Mar,-0.22
1905,Apr,-0.33
1905,May,-0.29
1905,Jun,-0.28
1905,Jul,-0.26
1905,Aug,-0.2
1905,Sep,-0.19
1905,Oct,-0.24
1905,Nov,-0.07
1905,Dec,-0.13
1906,Jan,-0.28
1906,Feb,-0.3
1906,Mar,-0.18
1906,Apr,-0.05
1906,May,-0.26
1906,Jun,-0.2
1906,Jul,-0.23
1906,Aug,-0.2
1906,Sep,-0.28
1906,Oct,-0.2
1906,Nov,-0.38
1906,Dec,-0.15
1907,Jan,-0.43
1907,Feb,-0.51
1907,Mar,-0.27
1907,Apr,-0.37
1907,May,-0.46
1907,Jun,-0.42
1907,Jul,-0.35
1907,Aug,-0.34
1907,Sep,-0.34
1907,Oct,-0.23
1907,Nov,-0.47
1907,Dec,-0.48
1908,Jan,-0.45
1908,Feb,-0.32
1908,Mar,-0.56
1908,Apr,-0.45
1908,May,-0.38
1908,Jun,-0.38
1908,Jul,-0.35
1908,Aug,-0.46
1908,Sep,-0.35
1908,Oct,-0.44
1908,Nov,-0.52
1908,Dec,-0.49
1909,Jan,-0.73
1909,Feb,-0.46
1909,Mar,-0.55
1909,Apr,-0.59
1909,May,-0.55
1909,Jun,-0.52
1909,Jul,-0.45
1909,Aug,-0.34
1909,Sep,-0.39
1909,Oct,-0.4
1909,Nov,-0.32
1909,Dec,-0.56
1910,Jan,-0.43
1910,Feb,-0.42
1910,Mar,-0.51
1910,Apr,-0.43
1910,May,-0.35
1910,Jun,-0.39
1910,Jul,-0.35
1910,Aug,-0.37
