year,world_kcal,china_kcal,india_kcal,africa_kcal,europe_kcal
1961,2184,1426,2064,1996,3047
1962,2230,1541,2100,2029,3099
1963,2234,1590,2013,2033,3122
1964,2260,1646,2030,2044,3130
1965,2279,1768,1962,2049,3157
1966,2295,1832,1970,2018,3171
1967,2299,1789,2023,2050,3188
1968,2303,1735,2042,2062,3224
1969,2312,1711,2071,2094,3223
1970,2358,1820,2147,2114,3267
1971,2334,1827,2025,2096,3264
1972,2322,1813,2021,2058,3248
1973,2359,1885,2084,2087,3288
1974,2351,1884,1974,2124,3296
1975,2366,1904,2097,2128,3277
1976,2360,1873,1957,2122,3326
1977,2388,1915,2143,2134,3301
1978,2446,2064,2186,2157,3331
1979,2444,2079,2061,2183,3344
1980,2457,2148,2028,2216,3342
1981,2466,2165,2089,2220,3311
1982,2493,2326,2060,2222,3317
1983,2535,2396,2240,2185,3326
1984,2544,2434,2244,2158,3335
1985,2547,2435,2183,2209,3348
1986,2549,2435,2183,2243,3351
1987,2567,2455,2193,2229,3379
1988,2584,2437,2294,2247,3390
1989,2594,2429,2382,2248,3372
1990,2579,2530,2215,2258,3362
1991,2558,2456,2303,2284,3227
1992,2565,2486,2335,2279,3231
1993,2567,2571,2267,2289,3199
1994,2588,2640,2285,2305,3160
1995,2610,2729,2313,2328,3157
1996,2618,2732,2328,2338,3164
1997,2629,2760,2348,2348,3169
1998,2640,2802,2336,2366,3208
1999,2651,2791,2367,2374,3216
2000,2659,2832,2345,2373,3231
2001,2654,2836,2293,2394,3269
2002,2654,2851,2242,2406,3302
2003,2658,2851,2235,2409,3288
2004,2667,2875,2206,2418,3317
2005,2678,2897,2216,2446,3336
2006,2693,2901,2275,2463,3366
2007,2717,2938,2336,2464,3382
2008,2731,2997,2360,2477,3390
2009,2727,3013,2345,2483,3374
2010,2796,3041,2358,2537,3376
2011,2815,3088,2391,2537,3398
2012,2835,3103,2385,2551,3389
2013,2840,3100,2420,2549,3392
2014,2871,3200,2449,2563,3380
2015,2872,3236,2423,2559,3379
2016,2879,3227,2473,2546,3385
2017,2905,3264,2514,2561,3400
2018,2910,3280,2526,2569,3398
2019,2932,3308,2528,2562,3429
2020,2943,3330,2541,2569,3444
2021,2965,3418,2550,2572,3453
2022,2987,3472,2595,2586,3475
2023,3006,3527,2668,2594,3487
