month,Coffee,Chocolate,Olive oil (Spain)
2021-01,0.2,0.4,-3.1
2021-02,0.1,0.6,-1.7
2021-03,-0.5,0.5,-0.8
2021-04,0.7,1.5,1.9
2021-05,-0.1,0.9,5.2
2021-06,-0.2,0.8,11.9
2021-07,0.9,1.4,21.6
2021-08,0.5,1.2,25.3
2021-09,2.0,1.5,25.6
2021-10,2.1,1.3,26.0
2021-11,3.3,1.2,25.5
2021-12,4.3,1.4,26.7
2022-01,5.1,1.8,30.1
2022-02,7.3,1.7,30.5
2022-03,9.3,2.0,32.9
2022-04,9.9,1.2,42.5
2022-05,12.8,2.8,36.5
2022-06,14.0,3.7,27.2
2022-07,14.4,4.4,16.9
2022-08,16.9,6.2,13.2
2022-09,17.3,7.6,14.1
2022-10,17.4,8.7,15.7
2022-11,17.0,9.0,25.9
2022-12,17.3,9.5,35.2
2023-01,16.4,10.6,30.5
2023-02,14.8,12.1,33.5
2023-03,13.5,14.2,32.1
2023-04,12.2,15.3,22.2
2023-05,10.3,14.5,24.7
2023-06,9.7,14.6,31.0
2023-07,8.6,14.2,38.8
2023-08,6.9,12.7,52.5
2023-09,6.1,11.4,67.0
2023-10,5.1,10.7,73.5
2023-11,4.3,10.5,66.7
2023-12,3.4,9.5,54.6
2024-01,2.5,9.0,62.9
2024-02,1.3,7.8,67.0
2024-03,1.0,6.8,70.0
2024-04,1.6,7.1,68.1
2024-05,0.7,7.1,62.8
2024-06,0.8,7.3,53.7
2024-07,2.3,8.2,38.3
2024-08,3.7,9.6,25.1
2024-09,3.8,10.9,10.3
2024-10,4.7,11.4,4.2
2024-11,5.6,12.0,-3.7
2024-12,6.7,12.4,-12.3
2025-01,8.2,12.9,-21.9
2025-02,11.1,15.3,-32.3
2025-03,13.4,16.9,-37.9
2025-04,15.4,17.9,-42.2
2025-05,18.8,19.8,-43.8
2025-06,20.1,19.6,-45.7
2025-07,20.1,19.0,-44.3
2025-08,20.5,18.4,-43.7
2025-09,20.1,17.2,-43.0
2025-10,20.0,16.7,-41.6
2025-11,19.1,15.7,-38.1
2025-12,18.4,15.3,-31.6
2026-01,17.1,14.3,-24.1
2026-02,15.1,11.4,-16.8
2026-03,11.9,8.3,-12.7
2026-04,9.0,6.5,-7.2
2026-05,5.9,3.7,-3.3
2026-06,3.8,3.2,2.2
2026-07,1.9,2.4,4.1
