country,code,y2020,y2021,y2022,y2023,y2024,y2025,y2026_jan_jul,total_since_2020_01
Hungary,HU,4.6,8.3,49.5,0.5,4.2,-1.3,-3.2,66.2
Romania,RO,2.9,7,23,4.6,4.7,7.4,2.2,61.1
Bulgaria,BG,2.1,8.9,26.9,5.5,2.7,5.3,0.6,58.1
North Macedonia,MK,4,6.9,25.8,3.1,6,3.5,-0.1,57.3
Estonia,EE,-0.2,6.1,30.8,4.1,3.9,5.5,-0.1,56.9
Serbia,RS,2.1,13.1,24.4,8.6,3.8,-1.9,0.3,56.5
Montenegro,ME,1.3,7.4,28.9,2.3,-0.7,3.5,5.4,55
Lithuania,LT,0,11.7,33.5,1.4,1,3.7,-0.3,54.8
Iceland,IS,7.1,2.9,10.5,10.3,4.3,5.3,2.9,50.2
Latvia,LV,1.1,7.9,29.4,2,5,2.9,-3.1,48.2
Kosovo,XK,1.1,8.9,19.4,2.6,2.5,9.4,-0.4,47.5
Poland,PL,0.4,8.3,21.2,7,4.2,2.3,-0.2,47.1
Slovakia,SK,0.6,6.3,29,6.3,2.4,1,-1.6,46.3
Croatia,HR,-1.1,8.5,19.7,6.7,4.7,2.2,0.8,45
Norway,NO,3.1,-0.7,11.1,9,3.9,4.8,5.9,39.3
Malta,MT,1.3,5.4,14.1,10.2,1.9,3.4,-0.9,38.9
Portugal,PT,1.6,3,20.4,1.4,3.5,3.6,2,38.4
Germany,DE,0.5,5.9,20.5,5.1,2.2,1.1,0.1,38.2
Spain,ES,1.1,4.8,15.9,7.3,1.6,2.7,0.7,38.1
Slovenia,SI,0.7,4.1,19.2,4.1,1.8,4.3,0.4,36.3
Albania,AL,3,7,13.2,7.7,2.7,2.1,1.8,35
Greece,EL,0.9,4.5,15.6,8.9,-0.7,3.6,0.1,34.6
Netherlands,NL,0.7,2.6,17,4.1,2.2,2.7,0.4,33.5
Belgium,BE,1.7,1.4,15.7,7.3,1.7,2.6,0,33
Austria,AT,3.1,1.6,16.3,5.6,1,3.3,-1.1,31.8
Denmark,DK,0.3,1.9,15.5,1.9,4.4,3.2,1.8,31.7
Italy,IT,0.9,3,13.3,6.1,1.8,2.1,1,29.9
Czechia,CZ,0.1,4.4,27.1,-1.1,1.3,1.4,-1.8,29.3
Luxembourg,LU,2.1,2.4,11.1,7.3,0.6,3.3,0.5,28.7
Sweden,SE,0.8,1.7,18.8,5.9,1.1,2.8,-5.7,27.3
France,FR,1.3,1.5,13.1,7.4,-0.1,1.1,1,26.6
Ireland,IE,-1.1,1.2,12.2,5.1,1.9,4.1,0.1,25.2
Cyprus,CY,0.4,1,12.2,3.4,7.8,-2.8,3.7,23.5
Finland,FI,-0.3,1.3,16.5,2.4,-0.3,1.8,0.5,22.8
Switzerland,CH,-0.7,-1.4,4.1,3.4,-1.4,-1.1,2.3,5.6
