month,France,Germany,Euro area,EU
2020-01,0.0,0.0,0.0,0.0
2020-02,0.1,0.3,0.3,0.3
2020-03,0.3,1.5,1.2,1.2
2020-04,-2.6,0.9,0.5,1.0
2020-05,-0.3,1.4,1.3,1.2
2020-06,0.2,1.8,1.6,1.8
2020-07,0.2,-0.6,-0.2,0.7
2020-08,0.6,-0.9,-0.4,0.7
2020-09,0.8,-0.6,-0.2,0.7
2020-10,0.7,-0.2,0.0,0.8
2020-11,0.7,0.4,0.3,1.1
2020-12,-1.1,1.1,0.7,0.9
2021-01,0.5,1.4,0.8,0.9
2021-02,1.9,0.3,0.2,1.1
2021-03,1.0,0.8,0.4,1.2
2021-04,1.8,1.0,0.8,0.9
2021-05,3.3,0.6,0.8,1.7
2021-06,3.2,0.5,0.7,0.8
2021-07,3.3,0.5,0.7,1.6
2021-08,3.1,0.8,0.8,1.8
2021-09,5.1,5.7,4.5,4.5
2021-10,6.8,9.9,7.8,7.9
2021-11,14.5,12.5,10.3,9.8
2021-12,20.0,16.0,13.0,12.3
2022-01,28.3,17.4,14.9,13.9
2022-02,30.2,20.8,17.7,15.6
2022-03,34.7,23.4,19.9,17.3
2022-04,36.2,24.0,20.7,18.4
2022-05,36.3,25.3,21.9,19.8
2022-06,38.3,26.2,22.8,20.3
2022-07,40.3,26.3,23.1,21.7
2022-08,44.8,27.9,24.6,22.6
2022-09,47.8,30.2,26.8,25.0
2022-10,49.9,32.1,28.8,27.1
2022-11,52.8,33.5,30.2,28.7
2022-12,49.9,34.7,30.9,29.6
2023-01,53.4,34.8,31.2,30.7
2023-02,55.0,35.1,31.7,30.7
2023-03,56.3,35.2,32.0,31.7
2023-04,57.5,35.9,32.3,32.1
2023-05,58.1,36.2,32.5,32.1
2023-06,57.8,36.5,32.6,32.6
2023-07,56.7,36.5,32.5,32.8
2023-08,56.4,35.9,31.7,31.5
2023-09,54.8,36.5,31.9,31.2
2023-10,53.7,37.9,32.4,30.4
2023-11,53.6,23.8,23.3,24.7
2023-12,51.9,21.7,21.4,23.1
2024-01,44.5,19.4,18.9,21.4
2024-02,39.7,19.5,18.8,20.8
2024-03,37.8,18.7,17.9,20.2
2024-04,37.2,18.2,17.1,19.3
2024-05,35.6,17.4,17.0,19.3
2024-06,33.4,17.8,17.2,19.3
2024-07,30.0,18.7,17.8,20.0
2024-08,30.8,22.2,19.6,20.9
2024-09,31.0,22.8,20.9,22.3
2024-10,31.4,23.2,22.3,24.2
2024-11,30.0,25.0,24.4,27.6
2024-12,31.8,25.0,25.0,28.5
2025-01,33.7,25.6,25.4,28.5
2025-02,35.3,28.4,27.5,31.5
2025-03,36.2,27.3,27.2,31.1
2025-04,36.7,29.4,28.8,32.1
2025-05,36.9,29.5,29.2,32.2
2025-06,38.7,30.8,30.4,33.1
2025-07,38.4,33.2,32.5,34.6
2025-08,42.5,34.0,33.7,35.6
2025-09,45.2,39.0,37.5,38.3
2025-10,49.3,48.9,46.0,47.0
2025-11,57.6,57.1,53.8,52.7
2025-12,63.1,59.7,56.4,54.9
2026-01,66.6,59.4,57.1,54.7
2026-02,67.9,61.3,59.3,57.0
2026-03,67.2,62.6,60.2,57.1
2026-04,69.8,62.6,60.7,56.9
2026-05,70.2,62.8,61.2,56.5
2026-06,69.9,64.7,62.6,58.1
2026-07,73.3,65.4,63.0,58.4
