year,country,real_gdp_growth_pct
2000,United States,4.1
2001,United States,1.0
2002,United States,1.7
2003,United States,2.8
2004,United States,3.8
2005,United States,3.5
2006,United States,2.8
2007,United States,2.0
2008,United States,0.1
2009,United States,-2.6
2010,United States,2.7
2011,United States,1.6
2012,United States,2.3
2013,United States,2.1
2014,United States,2.5
2015,United States,2.9
2016,United States,1.8
2017,United States,2.5
2018,United States,3.0
2019,United States,2.6
2020,United States,-2.1
2021,United States,6.2
2022,United States,2.5
2023,United States,2.9
2024,United States,2.8
2025,United States,2.1
2026,United States,2.3
2000,Canada,5.1
2001,Canada,1.9
2002,Canada,3.0
2003,Canada,1.8
2004,Canada,3.1
2005,Canada,3.2
2006,Canada,2.6
2007,Canada,2.0
2008,Canada,1.0
2009,Canada,-2.9
2010,Canada,3.1
2011,Canada,3.1
2012,Canada,1.8
2013,Canada,2.3
2014,Canada,2.9
2015,Canada,0.6
2016,Canada,1.0
2017,Canada,3.0
2018,Canada,2.7
2019,Canada,1.9
2020,Canada,-5.0
2021,Canada,6.0
2022,Canada,4.7
2023,Canada,2.0
2024,Canada,2.0
2025,Canada,1.7
2026,Canada,1.5
2000,United Kingdom,4.5
2001,United Kingdom,2.4
2002,United Kingdom,1.7
2003,United Kingdom,3.2
2004,United Kingdom,2.3
2005,United Kingdom,2.8
2006,United Kingdom,2.2
2007,United Kingdom,2.9
2008,United Kingdom,0.0
2009,United Kingdom,-4.6
2010,United Kingdom,2.3
2011,United Kingdom,0.9
2012,United Kingdom,1.5
2013,United Kingdom,1.7
2014,United Kingdom,3.2
2015,United Kingdom,2.1
2016,United Kingdom,2.2
2017,United Kingdom,3.0
2018,United Kingdom,1.6
2019,United Kingdom,1.3
2020,United Kingdom,-10.0
2021,United Kingdom,8.5
2022,United Kingdom,5.1
2023,United Kingdom,0.3
2024,United Kingdom,1.1
2025,United Kingdom,1.3
2026,United Kingdom,0.8
2000,France,4.4
2001,France,1.8
2002,France,1.1
2003,France,1.0
2004,France,2.5
2005,France,2.0
2006,France,2.9
2007,France,2.5
2008,France,0.3
2009,France,-2.7
2010,France,1.8
2011,France,2.5
2012,France,0.2
2013,France,0.9
2014,France,1.0
2015,France,1.0
2016,France,0.7
2017,France,2.3
2018,France,1.6
2019,France,2.1
2020,France,-7.6
2021,France,6.8
2022,France,2.8
2023,France,1.6
2024,France,1.1
2025,France,0.9
2026,France,0.9
2000,Germany,2.9
2001,Germany,1.6
2002,Germany,-0.2
2003,Germany,-0.5
2004,Germany,1.2
2005,Germany,0.9
2006,Germany,3.9
2007,Germany,2.9
2008,Germany,0.9
2009,Germany,-5.6
2010,Germany,4.1
2011,Germany,3.8
2012,Germany,0.5
2013,Germany,0.4
2014,Germany,2.2
2015,Germany,1.7
2016,Germany,2.2
2017,Germany,2.8
2018,Germany,1.1
2019,Germany,1.0
2020,Germany,-4.1
2021,Germany,3.9
2022,Germany,1.8
2023,Germany,-0.9
2024,Germany,-0.5
2025,Germany,0.2
2026,Germany,0.8
2000,Italy,3.9
2001,Italy,2.0
2002,Italy,0.3
2003,Italy,0.1
2004,Italy,1.5
2005,Italy,0.8
2006,Italy,1.8
2007,Italy,1.5
2008,Italy,-1.0
2009,Italy,-5.3
2010,Italy,1.5
2011,Italy,0.7
2012,Italy,-3.1
2013,Italy,-1.8
2014,Italy,0.0
2015,Italy,0.9
2016,Italy,1.2
2017,Italy,1.6
2018,Italy,0.8
2019,Italy,0.4
2020,Italy,-8.9
2021,Italy,8.9
2022,Italy,4.8
2023,Italy,0.9
2024,Italy,0.8
2025,Italy,0.5
2026,Italy,0.5
2000,Japan,3.0
2001,Japan,0.3
2002,Japan,0.1
2003,Japan,1.4
2004,Japan,2.1
2005,Japan,1.8
2006,Japan,1.5
2007,Japan,1.7
2008,Japan,-1.2
2009,Japan,-5.9
2010,Japan,4.1
2011,Japan,-0.2
2012,Japan,1.6
2013,Japan,2.0
2014,Japan,0.9
2015,Japan,1.8
2016,Japan,0.7
2017,Japan,1.6
2018,Japan,0.8
2019,Japan,-0.3
2020,Japan,-4.3
2021,Japan,3.6
2022,Japan,1.3
2023,Japan,0.7
2024,Japan,-0.2
2025,Japan,1.2
2026,Japan,0.7
