iso3,life_expectancy_2023
ABW,76.4
AFG,66.0
AGO,64.6
ALB,79.6
AND,84.0
ARE,82.9
ARG,77.4
ARM,77.5
ASM,72.9
ATG,77.6
AUS,83.1
AUT,81.8
AZE,74.4
BDI,63.7
BEL,82.4
BEN,60.8
BFA,61.1
BGD,74.7
BGR,75.8
BHR,81.3
BHS,74.6
BIH,77.8
BLR,74.2
BLZ,73.6
BMU,82.3
BOL,68.6
BRA,75.8
BRB,76.2
BRN,75.3
BTN,73.0
BWA,69.2
CAF,57.4
CAN,81.6
CHE,84.2
CHI,81.1
CHL,81.2
CHN,78.0
CIV,61.9
CMR,63.7
COD,61.9
COG,65.8
COL,77.7
COM,66.8
CPV,76.1
CRI,80.8
CUB,78.1
CUW,76.8
CYM,80.4
CYP,81.6
CZE,79.8
DEU,81.0
DJI,66.0
DMA,71.1
DNK,81.8
DOM,73.7
DZA,76.3
ECU,77.4
EGY,71.6
ERI,68.6
ESP,83.9
EST,78.8
ETH,67.3
FIN,81.6
FJI,67.3
FRA,82.8
FRO,83.0
FSM,67.2
GAB,68.3
GBR,81.2
GEO,74.5
GHA,65.5
GIB,83.6
GIN,60.7
GMB,65.9
GNB,64.1
GNQ,63.7
GRC,81.7
GRD,75.2
GRL,71.0
GTM,72.6
GUM,77.2
GUY,70.2
HKG,85.2
HND,72.9
HRV,78.5
HTI,64.9
HUN,76.6
IDN,71.1
IMN,81.0
IND,72.0
IRL,82.8
IRN,77.7
IRQ,72.3
ISL,82.5
ISR,83.2
ITA,83.4
JAM,71.5
JOR,77.8
JPN,84.0
KAZ,74.4
KEN,63.6
KGZ,72.2
KHM,70.7
KIR,66.5
KNA,72.1
KOR,83.4
KWT,83.2
LAO,69.0
LBN,77.8
LBR,62.2
LBY,69.3
LCA,72.7
LIE,84.6
LKA,77.5
LSO,57.4
LTU,77.3
LUX,83.3
LVA,75.4
MAC,83.2
MAF,80.2
MAR,75.3
MCO,86.4
MDA,71.2
MDG,63.6
MDV,81.0
MEX,75.1
MHL,66.9
MKD,75.3
MLI,60.4
MLT,83.4
MMR,66.9
MNE,77.6
MNG,72.1
MNP,78.8
MOZ,63.6
MRT,68.5
MUS,73.4
MWI,67.4
MYS,76.7
NAM,67.4
NCL,78.8
NER,61.2
NGA,54.5
NIC,74.9
NLD,81.9
NOR,83.0
NPL,70.4
NRU,62.1
NZL,81.8
OMN,80.0
PAK,67.6
PAN,79.6
PER,77.7
PHL,69.8
PLW,69.3
PNG,66.1
POL,78.3
PRI,81.7
PRK,73.6
PRT,82.3
PRY,73.8
PSE,65.2
PYF,84.1
QAT,82.4
ROU,76.4
RUS,73.3
RWA,67.8
SAU,78.7
SDN,66.3
SEN,68.7
SGP,83.1
SLB,70.5
SLE,61.8
SLV,72.1
SMR,85.7
SOM,58.8
SRB,76.1
SSD,57.6
STP,69.7
SUR,73.6
SVK,78.1
SVN,81.9
SWE,83.3
SWZ,64.1
SXM,76.4
SYC,75.4
SYR,72.1
TCA,78.0
TCD,55.1
TGO,62.7
THA,76.4
TJK,71.8
TKM,70.1
TLS,67.7
TON,72.9
TTO,73.5
TUN,76.5
TUR,77.2
TUV,67.1
TZA,67.0
UGA,68.3
UKR,73.4
URY,78.1
USA,78.4
UZB,72.4
VCT,71.2
VEN,72.5
VGB,77.3
VIR,80.5
VNM,74.6
VUT,71.5
WSM,71.7
XKX,78.0
YEM,69.3
ZAF,66.1
ZMB,66.3
ZWE,62.8
