country,gdp_per_capita_usd,fertility_births_per_woman
Burundi,251,4.88
Afghanistan,414,4.84
Central African Republic,496,6.01
Madagascar,509,3.97
Somalia,597,6.13
Mozambique,622,4.76
Malawi,633,3.65
Niger,638,6.06
DR Congo,660,6.05
Sierra Leone,758,3.79
Sudan,797,4.32
Liberia,799,3.95
Burkina Faso,873,4.19
Gambia,883,4.01
Lesotho,916,2.69
Chad,949,6.12
Guinea-Bissau,988,3.84
Uganda,1002,4.28
Rwanda,1027,3.7
Mali,1044,5.61
Togo,1055,4.19
Ethiopia,1056,3.99
Tajikistan,1178,3.07
Tanzania,1224,4.61
Myanmar,1233,2.12
Zambia,1331,4.1
Pakistan,1360,3.6
Nepal,1382,1.98
Benin,1394,4.56
Timor-Leste,1502,2.71
Guinea,1555,4.22
Senegal,1698,3.82
Haiti,1706,2.66
Cameroon,1720,4.32
Kenya,1943,3.21
Lao PDR,2067,2.42
Mauritania,2136,4.7
Kyrgyzstan,2138,2.7
Nigeria,2139,4.48
Zimbabwe,2195,3.72
Ghana,2384,3.4
Cambodia,2430,2.58
Republic of the Congo,2478,4.16
India,2530,1.98
Bangladesh,2551,2.16
Cote d'Ivoire,2592,4.28
Nicaragua,2609,2.22
Uzbekistan,2879,3.5
Angola,2916,5.12
Papua New Guinea,2966,3.1
Honduras,3227,2.5
Djibouti,3381,2.61
West Bank and Gaza,3455,3.31
Egypt,3457,2.75
Lebanon,3478,2.24
Venezuela,3617,2.08
Eswatini,3756,2.75
Sri Lanka,3799,1.97
Philippines,3804,1.92
Morocco,3814,2.23
Tunisia,3951,1.83
Namibia,4188,3.21
Bolivia,4275,2.55
Viet Nam,4323,1.91
Jordan,4466,2.64
Indonesia,4876,2.13
Iran,5049,1.7
Ukraine,5140,0.98
El Salvador,5365,1.77
Algeria,5370,2.77
Guatemala,5758,2.31
Mongolia,5839,2.7
Iraq,5965,3.25
Libya,6027,2.35
South Africa,6034,2.22
Turkmenistan,6232,2.69
Paraguay,6300,2.42
Equatorial Guinea,6678,4.08
Ecuador,6738,1.82
Moldova,6800,1.73
Colombia,7001,1.65
Azerbaijan,7133,1.55
Thailand,7195,1.21
Jamaica,7542,1.36
Gabon,7803,3.65
Botswana,7826,2.73
Peru,7888,1.98
Belarus,7897,1.21
Armenia,8159,1.9
Georgia,8284,1.81
Bosnia and Herzegovina,8663,1.49
North Macedonia,8674,1.5
Albania,9731,1.35
Brazil,10378,1.62
Dominican Republic,10630,2.24
Mauritius,11270,1.4
Malaysia,11386,1.55
Serbia,12282,1.62
Kazakhstan,12879,3.01
China,12951,1.0
Turkiye,13375,1.51
Mexico,13861,1.91
Russia,14159,1.41
Argentina,14262,1.5
Bulgaria,15853,1.81
Costa Rica,16942,1.33
Chile,17067,1.17
Romania,18244,1.54
Trinidad and Tobago,18308,1.53
Panama,18797,2.12
Oman,21028,2.52
Poland,22145,1.2
Croatia,22184,1.46
Hungary,22231,1.55
Latvia,22710,1.36
Uruguay,23019,1.41
Greece,23344,1.26
Slovakia,24615,1.49
Portugal,27635,1.45
Lithuania,27786,1.18
Bahrain,29290,1.82
Estonia,30264,1.31
Czechia,31762,1.46
Slovenia,32660,1.51
Spain,33493,1.12
Japan,33836,1.2
Kuwait,34076,1.52
South Korea,35674,0.72
Saudi Arabia,36157,2.28
Cyprus,36624,1.39
Puerto Rico (US),36981,0.92
Italy,39277,1.21
France,44700,1.66
New Zealand,49076,1.57
United Arab Emirates,49851,1.2
United Kingdom,49944,1.56
Hong Kong,50562,0.75
Israel,52004,2.85
Finland,52834,1.26
Canada,54220,1.27
Germany,54777,1.39
Sweden,54950,1.45
Belgium,55291,1.47
Austria,56580,1.32
Netherlands,63516,1.43
Australia,65058,1.5
Denmark,68044,1.5
United States,81032,1.62
Qatar,81817,1.73
Singapore,85412,0.97
Norway,87497,1.4
Switzerland,100624,1.33
Ireland,106819,1.5
