year,coal_twh,gas_twh,oil_twh,nuclear_twh,hydro_twh,wind_twh,solar_twh,bioenergy_other_twh
1985,3748.4,1426.3,1110.8,1488.9,1979.2,0.1,0.0,78.7
1986,3839.0,1432.7,1168.3,1594.7,2006.1,0.1,0.0,85.4
1987,4058.1,1516.5,1183.2,1734.7,2033.2,0.2,0.0,91.5
1988,4200.7,1541.0,1256.5,1891.2,2098.3,0.3,0.0,94.2
1989,4377.0,1728.6,1350.2,1945.0,2087.6,2.6,0.3,104.7
1990,4460.2,1788.7,1366.1,2000.6,2158.6,3.6,0.4,117.2
1991,4557.1,1814.1,1351.5,2096.3,2208.5,4.1,0.5,122.3
1992,4649.8,1828.4,1329.7,2112.2,2208.3,4.7,0.5,131.2
1993,4727.8,1862.4,1268.5,2185.0,2341.3,5.7,0.6,135.5
1994,4891.7,1923.7,1303.8,2226.0,2355.9,7.1,0.6,140.7
1995,5038.7,2034.9,1261.8,2322.5,2483.4,8.3,0.6,146.6
1996,5279.5,2100.1,1247.4,2406.6,2516.8,9.2,0.7,150.7
1997,5395.6,2270.3,1245.3,2390.1,2561.4,12.0,0.8,161.4
1998,5511.2,2407.8,1295.5,2431.2,2580.9,15.9,0.8,168.2
1999,5630.7,2600.2,1267.9,2523.7,2600.5,21.2,0.9,176.6
2000,5808.8,2745.6,1324.3,2540.5,2629.7,31.1,1.0,197.8
2001,5890.7,2914.8,1285.2,2613.2,2563.7,38.2,1.4,193.7
2002,6144.3,3104.8,1271.8,2654.8,2611.6,52.2,1.7,208.6
2003,6574.9,3255.5,1296.2,2601.1,2612.0,63.2,2.1,223.0
2004,6797.3,3503.1,1263.7,2719.4,2802.6,85.5,2.8,240.7
2005,7167.2,3680.5,1277.9,2727.0,2911.8,104.4,4.0,261.4
2006,7567.0,3900.6,1175.8,2761.6,3018.1,133.2,5.4,277.4
2007,8051.8,4219.3,1196.0,2703.5,3062.8,171.2,7.3,302.1
2008,8074.2,4361.0,1171.7,2694.7,3245.3,220.8,11.8,323.0
2009,7950.8,4382.4,1071.2,2656.8,3241.3,276.3,19.8,345.1
2010,8458.0,4807.9,1078.7,2725.9,3428.2,346.0,32.2,386.9
2011,8911.0,4865.9,1186.8,2610.3,3488.1,440.0,63.6,406.4
2012,8960.3,5161.4,1238.6,2432.2,3660.2,529.3,96.9,436.9
2013,9423.9,5058.4,1196.8,2448.5,3790.8,634.1,131.8,470.8
2014,9603.8,5214.1,1143.7,2498.7,3870.7,706.1,197.7,512.2
2015,9283.6,5539.9,1133.3,2532.9,3882.1,829.6,256.0,544.9
2016,9328.0,5849.9,1085.1,2571.1,4014.8,960.3,327.5,558.0
2017,9655.0,5973.6,993.8,2594.2,4054.0,1139.4,444.6,586.2
2018,10033.0,6224.6,908.6,2658.7,4176.8,1268.1,575.2,619.5
2019,9826.4,6401.3,855.0,2754.1,4227.8,1421.0,697.9,649.0
2020,9437.0,6382.9,775.9,2648.3,4347.0,1591.5,853.4,687.3
2021,10156.5,6556.6,842.2,2762.4,4288.7,1856.9,1054.0,741.6
2022,10240.4,6628.3,887.4,2639.6,4324.1,2107.7,1333.1,757.1
2023,10395.9,6699.4,876.8,2697.7,4240.1,2319.2,1664.1,772.0
2024,10538.9,6882.7,853.8,2777.1,4433.6,2509.5,2142.7,791.8
2025,10471.5,6921.1,841.6,2811.6,4435.0,2713.1,2778.6,799.7
