country,gdp_per_capita_usd,life_expectancy_years
Burundi,251,63.7
Afghanistan,414,66.0
Central African Republic,496,57.4
Madagascar,509,63.6
"Somalia, Fed. Rep.",597,58.8
Mozambique,622,63.6
Malawi,633,67.4
Niger,638,61.2
"Congo, Dem. Rep.",660,61.9
Sierra Leone,758,61.8
Sudan,797,66.3
Liberia,799,62.2
Burkina Faso,873,61.1
"Gambia, The",883,65.9
Lesotho,916,57.4
Chad,949,55.1
Guinea-Bissau,988,64.1
Uganda,1002,68.3
Rwanda,1027,67.8
Mali,1044,60.4
Togo,1055,62.7
Ethiopia,1056,67.3
Tajikistan,1178,71.8
Tanzania,1224,67.0
Myanmar,1233,66.9
Zambia,1331,66.3
Pakistan,1360,67.6
Nepal,1382,70.4
Benin,1394,60.8
Timor-Leste,1502,67.7
Guinea,1555,60.7
Senegal,1698,68.7
Haiti,1706,64.9
Cameroon,1720,63.7
Kenya,1943,63.6
Lao PDR,2067,69.0
Mauritania,2136,68.5
Kyrgyz Republic,2138,72.2
Nigeria,2139,54.5
Zimbabwe,2195,62.8
Ghana,2384,65.5
Cambodia,2430,70.7
"Congo, Rep.",2478,65.8
India,2530,72.0
Bangladesh,2551,74.7
Cote d'Ivoire,2592,61.9
Nicaragua,2609,74.9
Uzbekistan,2879,72.4
Angola,2916,64.6
Papua New Guinea,2966,66.1
Honduras,3227,72.9
Djibouti,3381,66.0
West Bank and Gaza,3455,65.2
"Egypt, Arab Rep.",3457,71.6
Lebanon,3478,77.8
"Venezuela, RB",3617,72.5
Eswatini,3756,64.1
Sri Lanka,3799,77.5
Philippines,3804,69.8
Morocco,3814,75.3
Tunisia,3951,76.5
Namibia,4188,67.4
Bolivia,4275,68.6
Viet Nam,4323,74.6
Jordan,4466,77.8
Indonesia,4876,71.1
"Iran, Islamic Rep.",5049,77.7
Ukraine,5140,73.4
El Salvador,5365,72.1
Algeria,5370,76.3
Guatemala,5758,72.6
Mongolia,5839,72.1
Iraq,5965,72.3
Libya,6027,69.3
South Africa,6034,66.1
Turkmenistan,6232,70.1
Paraguay,6300,73.8
Equatorial Guinea,6678,63.7
Ecuador,6738,77.4
Moldova,6800,71.2
Colombia,7001,77.7
Azerbaijan,7133,74.4
Thailand,7195,76.4
Jamaica,7542,71.5
Gabon,7803,68.3
Botswana,7826,69.2
Peru,7888,77.7
Belarus,7897,74.2
Armenia,8159,77.5
Georgia,8284,74.5
Bosnia and Herzegovina,8663,77.8
North Macedonia,8674,75.3
Albania,9731,79.6
Brazil,10378,75.8
Dominican Republic,10630,73.7
Mauritius,11270,73.4
Malaysia,11386,76.7
Serbia,12282,76.1
Kazakhstan,12879,74.4
China,12951,78.0
Turkiye,13375,77.2
Mexico,13861,75.1
Russian Federation,14159,73.3
Argentina,14262,77.4
Bulgaria,15853,75.8
Costa Rica,16942,80.8
Chile,17067,81.2
Romania,18244,76.4
Trinidad and Tobago,18308,73.5
Panama,18797,79.6
Oman,21028,80.0
Poland,22145,78.3
Croatia,22184,78.5
Hungary,22231,76.6
Latvia,22710,75.4
Uruguay,23019,78.1
Greece,23344,81.7
Slovak Republic,24615,78.1
Portugal,27635,82.3
Lithuania,27786,77.3
Bahrain,29290,81.3
Estonia,30264,78.8
Czechia,31762,79.8
Slovenia,32660,81.9
Spain,33493,83.9
Japan,33836,84.0
Kuwait,34076,83.2
"Korea, Rep.",35674,83.4
Saudi Arabia,36157,78.7
Cyprus,36624,81.6
Puerto Rico (US),36981,81.7
Italy,39277,83.4
France,44700,82.8
New Zealand,49076,81.8
United Arab Emirates,49851,82.9
United Kingdom,49944,81.2
"Hong Kong SAR, China",50562,85.2
Israel,52004,83.2
Finland,52834,81.6
Canada,54220,81.6
Germany,54777,81.0
Sweden,54950,83.3
Belgium,55291,82.4
Austria,56580,81.8
Netherlands,63516,81.9
Australia,65058,83.1
Denmark,68044,81.8
United States,81032,78.4
Qatar,81817,82.4
Singapore,85412,83.1
Norway,87497,83.0
Switzerland,100624,84.2
Ireland,106819,82.8
