country,code,most_inflated_food,change_jul2020_jul2026_pct
Austria,AT,Coffee,55.6
Belgium,BE,Eggs,50.8
Bulgaria,BG,Eggs,111.5
Croatia,HR,Frozen fruit,131.4
Cyprus,CY,Tomatoes and peppers,137.4
Czechia,CZ,Margarine,68.6
Denmark,DK,Coffee,69.2
Estonia,EE,Beef,119.4
Finland,FI,Coffee,106.0
France,FR,Frozen fruit,73.0
Germany,DE,Chocolate,68.7
Greece,EL,Beef,74.3
Hungary,HU,Bread,108.0
Iceland,IS,Coffee,73.7
Ireland,IE,Sugar,58.5
Italy,IT,Tomatoes and peppers,58.1
Latvia,LV,Coffee,103.2
Lithuania,LT,Leafy vegetables,107.7
Luxembourg,LU,Chocolate,50.7
Malta,MT,Chocolate,72.4
Montenegro,ME,Eggs,103.6
Netherlands,NL,Beef,56.2
North Macedonia,MK,Beef,101.1
Poland,PL,Chocolate,92.4
Portugal,PT,Eggs,93.7
Romania,RO,Chocolate,120.6
Serbia,RS,Beef,109.6
Slovakia,SK,Margarine,242.2
Slovenia,SI,Citrus fruit,175.7
Spain,ES,Berries,95.1
Sweden,SE,Coffee,90.1
Switzerland,CH,Margarine,30.0
