year,us_murder_rate_per_100k,canada_homicide_rate_per_100k
1960,5.1,
1961,4.8,1.28
1962,4.6,1.43
1963,4.6,1.32
1964,4.9,1.31
1965,5.1,1.41
1966,5.6,1.25
1967,6.2,1.66
1968,6.9,1.82
1969,7.3,1.86
1970,7.9,2.19
1971,8.6,2.15
1972,9.0,2.34
1973,9.4,2.44
1974,9.8,2.62
1975,9.6,3.03
1976,8.7,2.84
1977,8.8,3.0
1978,9.0,2.76
1979,9.8,2.61
1980,10.2,2.41
1981,9.8,2.61
1982,9.1,2.66
1983,8.3,2.7
1984,7.9,2.6
1985,8.0,2.72
1986,8.6,2.17
1987,8.3,2.43
1988,8.4,2.15
1989,8.7,2.4
1990,9.4,2.37
1991,9.8,2.69
1992,9.3,2.59
1993,9.5,2.18
1994,9.0,2.06
1995,8.2,2.0
1996,7.4,2.14
1997,6.8,1.96
1998,6.3,1.85
1999,5.7,1.78
2000,5.5,1.78
2001,5.6,1.79
2002,5.6,1.86
2003,5.7,1.74
2004,5.5,1.96
2005,5.6,2.06
2006,5.7,1.87
2007,5.6,1.82
2008,5.4,1.85
2009,5.0,1.82
2010,4.8,1.64
2011,4.7,1.77
2012,4.7,1.58
2013,4.5,1.46
2014,4.4,1.48
2015,4.9,1.72
2016,5.4,1.72
2017,5.3,1.83
2018,5.0,1.8
2019,5.0,1.84
2020,6.7,2.02
2021,6.8,2.1
2022,6.5,2.28
2023,5.7,1.99
2024,5.0,1.93
2025,4.1,1.61
