month,Finland,Sweden,Germany,France,Denmark
2020-01,0.0,0.0,0.0,0.0,0.0
2020-02,1.5,0.4,-0.7,0.0,-0.7
2020-03,2.4,2.0,0.7,0.3,1.5
2020-04,-0.5,3.6,0.7,1.2,0.1
2020-05,-1.2,6.6,2.0,1.9,0.8
2020-06,0.6,5.5,3.2,1.6,-0.6
2020-07,2.7,8.0,1.7,0.5,0.2
2020-08,1.0,7.3,0.2,0.9,-1.2
2020-09,1.5,5.7,0.2,1.0,-1.9
2020-10,2.5,5.4,1.0,1.0,-0.6
2020-11,0.7,4.8,-0.3,1.6,-0.4
2020-12,0.1,4.7,-0.9,1.8,-0.6
2021-01,0.2,7.2,1.6,1.5,-0.5
2021-02,0.5,6.9,1.9,1.7,-0.5
2021-03,0.7,9.0,0.9,1.8,-1.5
2021-04,-0.2,8.8,3.3,2.1,1.2
2021-05,1.5,11.5,3.2,2.1,1.5
2021-06,1.7,10.5,2.3,2.9,0.8
2021-07,2.1,10.5,3.4,2.8,2.3
2021-08,2.7,11.7,3.5,3.4,1.9
2021-09,3.9,10.0,4.4,3.2,0.9
2021-10,3.9,10.4,5.7,3.0,1.9
2021-11,3.5,8.3,7.0,3.3,2.8
2021-12,3.5,10.5,8.0,3.7,5.0
2022-01,5.7,12.3,9.8,4.6,5.4
2022-02,6.9,13.4,11.1,5.3,9.7
2022-03,7.2,16.2,14.6,6.6,13.3
2022-04,8.8,20.4,22.5,8.7,20.1
2022-05,18.0,24.3,26.0,10.8,24.2
2022-06,23.2,30.1,26.6,12.4,28.6
2022-07,23.6,30.2,27.2,13.3,31.5
2022-08,23.4,31.1,26.0,14.7,30.8
2022-09,29.3,29.7,28.7,14.9,29.6
2022-10,28.5,28.7,29.5,15.8,27.1
2022-11,24.6,28.9,29.3,16.8,21.8
2022-12,23.1,27.5,28.5,17.3,20.2
2023-01,22.3,30.3,28.4,18.4,22.2
2023-02,24.0,30.2,30.2,19.4,20.9
2023-03,23.2,31.5,28.7,19.9,19.3
2023-04,22.6,34.2,29.0,20.3,19.6
2023-05,21.6,33.4,30.1,20.7,20.5
2023-06,21.3,34.1,31.6,21.0,22.5
2023-07,22.1,32.0,30.2,20.9,22.8
2023-08,21.2,34.2,31.2,21.2,22.3
2023-09,19.8,33.0,30.1,20.8,19.1
2023-10,19.9,31.0,29.5,20.6,19.7
2023-11,18.1,31.4,31.3,21.2,18.9
2023-12,18.2,33.8,30.6,21.1,17.0
2024-01,18.7,33.9,32.2,21.0,20.8
2024-02,18.4,35.7,33.5,21.0,17.4
2024-03,19.0,34.2,33.7,21.4,19.9
2024-04,18.7,32.0,33.7,21.3,20.0
2024-05,18.1,33.1,32.6,21.7,19.8
2024-06,19.1,33.9,33.8,21.8,21.2
2024-07,20.1,32.1,33.5,21.8,24.7
2024-08,19.2,33.0,34.4,22.6,23.4
2024-09,19.1,33.2,33.9,22.1,22.7
2024-10,19.5,32.9,36.1,22.0,22.9
2024-11,18.3,32.5,37.6,22.3,22.5
2024-12,19.2,34.6,37.6,22.9,21.8
2025-01,19.7,39.2,37.0,23.0,27.0
2025-02,20.2,40.4,38.0,23.6,26.2
2025-03,23.5,44.3,41.0,24.1,30.3
2025-04,25.8,49.5,43.6,24.7,34.9
2025-05,29.1,52.7,45.4,26.4,38.4
2025-06,32.7,53.6,46.5,27.9,46.1
2025-07,33.6,53.8,48.2,28.9,50.7
2025-08,35.0,56.2,49.7,29.9,50.8
2025-09,41.5,57.4,50.5,30.5,52.4
2025-10,45.3,57.2,54.4,32.0,51.8
2025-11,46.1,58.7,56.5,33.7,45.4
2025-12,47.1,62.2,56.8,34.8,43.9
2026-01,53.2,71.3,57.2,36.7,46.0
2026-02,63.1,71.9,57.8,37.1,45.9
2026-03,61.7,79.2,58.2,38.4,43.7
2026-04,64.0,70.6,58.7,39.1,45.9
2026-05,73.5,74.5,58.7,39.7,42.5
2026-06,72.6,73.5,57.4,39.8,42.5
2026-07,75.9,75.6,58.9,40.1,43.1
