year,nuclear_twh
1965,25.54
1966,34.433
1967,41.006
1968,52.113
1969,61.783
1970,78.875
1971,109.704
1972,152.175
1973,203.902
1974,266.6
1975,369.848
1976,432.671
1977,538.548
1978,625.794
1979,650.86
1980,711.924
1981,840.751
1982,912.178
1983,1033.813
1984,1254.568
1985,1488.922
1986,1594.736
1987,1734.733
1988,1891.249
1989,1945.011
1990,2000.596
1991,2096.31
1992,2112.223
1993,2184.965
1994,2225.979
1995,2322.53
1996,2406.615
1997,2390.064
1998,2431.195
1999,2523.706
2000,2540.46
2001,2613.17
2002,2654.78
2003,2601.05
2004,2719.41
2005,2726.97
2006,2761.59
2007,2703.49
2008,2694.72
2009,2656.76
2010,2725.91
2011,2610.34
2012,2432.22
2013,2448.52
2014,2498.73
2015,2532.93
2016,2571.05
2017,2594.23
2018,2658.7
2019,2754.08
2020,2648.33
2021,2762.44
2022,2639.64
2023,2697.74
2024,2777.11
2025,2811.57
