series,period,year,obesity_pct
nhanes_measured,1960-62,1961,13.4
nhanes_measured,1971-74,1972.5,14.5
nhanes_measured,1976-80,1978,15.0
nhanes_measured,1988-94,1991,22.9
nhanes_measured,1999-00,1999.5,30.5
nhanes_measured,2001-02,2001.5,30.5
nhanes_measured,2003-04,2003.5,32.2
nhanes_measured,2005-06,2005.5,34.3
nhanes_measured,2007-08,2007.5,33.7
nhanes_measured,2009-10,2009.5,35.7
nhanes_measured,2011-12,2011.5,34.9
nhanes_measured,2013-14,2013.5,37.7
nhanes_measured,2015-16,2015.5,39.6
nhanes_measured,2017-18,2017.5,42.4
nhanes_measured,Aug 2021-Aug 2023,2022.4,40.3
gallup_self_reported,2022,2022,39.9
gallup_self_reported,2025,2025,37.0
gallup_self_reported,2026,2026.4,36.4
