month,Albania,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden
2020-01,1.6,-3.1,-1.2,-2.8,2.8,1.0,4.0,-3.5,3.4,-1.1,0.3,-0.2,-3.3,1.2,1.7,-3.0,0.7,-6.5,-2.7,-5.0,-2.8,-2.4,0.7,-3.8,-3.1,1.1,0.3,-1.2,1.4,-1.7,3.5,-1.3,-5.8,-1.1
2020-02,1.9,-0.8,-3.9,2.0,2.2,0.1,6.6,-11.3,2.7,-1.2,0.3,-1.9,-5.0,1.3,0.8,0.0,-1.0,-8.9,2.0,0.1,-2.3,-2.6,0.7,-1.3,-3.2,2.5,-0.2,-6.7,1.5,1.0,-2.9,-1.3,-7.2,-2.3
2020-03,1.9,-1.9,-1.1,-1.9,5.6,-3.9,0.2,-0.2,-1.6,-1.4,0.1,-2.1,-4.0,4.2,0.3,0.4,-0.3,-8.9,-8.8,-0.5,-0.4,-3.0,-0.6,-2.2,-3.2,1.5,-1.5,-4.1,2.1,1.1,-3.6,-2.3,-7.4,-1.1
2020-04,2.3,4.7,-1.7,-5.1,1.6,-1.2,-7.7,-2.2,-2.9,-3.0,-0.2,-0.9,-4.2,6.8,0.6,0.5,0.8,-10.0,-8.3,2.1,3.3,-4.7,0.7,-1.1,-3.4,2.4,-0.3,-6.9,2.7,-0.3,-3.3,0.0,-6.9,-0.6
2020-05,2.9,-1.6,-3.8,-2.2,-4.1,0.8,7.8,-2.5,-1.0,-2.8,-0.4,-1.8,-6.0,5.5,5.3,1.0,0.2,-11.4,-14.0,0.7,1.8,-3.6,0.7,1.2,-6.3,5.6,0.1,-8.5,2.8,1.4,1.8,0.6,-6.6,0.4
2020-06,2.9,-2.8,-0.5,-3.2,-0.6,3.9,-9.5,-1.3,-1.0,-2.6,0.1,-1.5,-6.7,5.7,5.1,0.4,-1.2,-12.6,-3.8,-1.4,-0.6,-3.8,1.2,0.3,-6.8,3.6,-0.9,1.6,3.0,2.5,-1.5,-0.4,-7.3,-0.5
2020-07,2.7,-0.5,-1.1,-2.7,-0.8,-0.1,0.6,-3.9,-1.0,-3.6,0.2,-4.7,-7.6,4.0,4.5,-1.7,-3.5,-12.1,1.1,-2.9,-1.1,-5.3,3.8,0.1,-6.6,6.8,-0.9,-8.9,3.3,-0.4,-1.8,0.7,-8.0,-0.1
2020-08,2.8,-2.7,-2.0,-5.1,0.2,1.8,3.8,-7.2,-8.5,-3.7,0.2,-4.3,-8.9,2.2,4.5,-3.1,-3.8,-11.9,-3.1,-2.0,0.1,-5.8,1.3,0.0,-7.8,7.9,-0.2,-11.3,3.6,-1.7,-3.5,-1.8,-8.8,-0.3
2020-09,3.0,-2.6,-2.9,-3.6,0.3,2.9,-3.4,-6.3,-1.2,-3.9,-0.3,-4.1,-8.0,2.4,4.6,-0.2,-5.5,-11.1,-0.2,-3.3,-2.3,-5.8,2.1,-1.9,-7.7,5.1,-0.7,-12.8,3.6,-2.5,-4.4,-4.4,-9.2,-0.9
2020-10,3.1,-2.1,1.2,-4.8,-1.8,4.1,-4.6,-7.5,-10.2,-4.5,0.1,-5.5,-9.0,4.2,4.4,-0.1,-5.1,-11.0,-4.1,-2.2,-1.9,-6.6,2.1,0.4,-8.3,3.1,0.4,-13.2,4.0,-1.5,-3.8,0.1,-9.0,0.4
