year,property_crime_rate_per_100k
1960,1726.3
1961,1747.9
1962,1857.5
1963,2012.1
1964,2197.5
1965,2248.8
1966,2450.9
1967,2736.5
1968,3071.8
1969,3351.3
1970,3621.0
1971,3768.8
1972,3560.4
1973,3737.0
1974,4389.3
1975,4810.7
1976,4819.5
1977,4601.7
1978,4642.5
1979,5016.6
1980,5353.3
1981,5263.8
1982,5032.5
1983,4637.3
1984,4492.1
1985,4650.5
1986,4881.8
1987,4940.3
1988,5027.1
1989,5077.9
1990,5088.5
1991,5139.7
1992,4902.7
1993,4737.7
1994,4660.0
1995,4591.3
1996,4451.0
1997,4316.3
1998,4049.1
1999,3743.6
2000,3618.3
2001,3658.1
2002,3630.6
2003,3591.2
2004,3514.1
2005,3431.5
2006,3334.5
2007,3263.5
2008,3211.5
2009,3036.1
2010,2945.9
2011,2905.4
2012,2868.0
2013,2733.3
2014,2574.1
2015,2500.5
2016,2451.6
2017,2362.9
2018,2209.8
2019,2109.9
2020,1958.2
2021,1832.3
2022,1954.4
2023,1916.7
2024,1760.0
2025,1541.8
