year,solar_twh,wind_twh,solar_share_of_wind_pct
2000,1.0,31.1,3.2
2001,1.3,38.1,3.4
2002,1.6,52.2,3.1
2003,1.9,62.9,3.0
2004,2.6,84.8,3.1
2005,3.7,103.7,3.6
2006,5.0,132.5,3.8
2007,6.7,170.2,3.9
2008,11.4,220.4,5.2
2009,19.7,275.6,7.1
2010,32.2,346.0,9.3
2011,63.3,436.7,14.5
2012,97.4,523.6,18.6
2013,132.0,645.6,20.4
2014,197.7,712.0,27.8
2015,256.8,831.5,30.9
2016,328.2,957.6,34.3
2017,445.2,1136.5,39.2
2018,574.2,1263.9,45.4
2019,704.8,1420.6,49.6
2020,853.7,1591.2,53.7
2021,1055.9,1861.9,56.7
2022,1321.8,2098.5,63.0
2023,1637.9,2304.4,71.1
2024,2142.7,2509.5,85.4
2025,2778.6,2713.1,102.4
