country,gdp_per_capita_2019_usd,gdp_per_capita_2026_usd,change_pct,gdp_per_capita_2020_usd,gdp_per_capita_2021_usd,gdp_per_capita_2022_usd,gdp_per_capita_2023_usd,gdp_per_capita_2024_usd,gdp_per_capita_2025_usd
Guyana,6174.3,33167.2,437.2,6363.2,9201.4,16425.0,18428.1,25792.4,26993.6
Uruguay,17740.5,27608.0,55.6,15256.9,17313.5,20347.5,22655.8,23576.3,24548.8
Chile,14602.9,20239.8,38.6,13207.9,16265.3,15385.4,16988.3,16589.8,17734.8
Argentina,9941.6,14356.6,44.4,8489.3,10610.2,13702.2,13908.5,13538.7,14355.0
Brazil,9010.5,12312.6,36.6,7057.1,7951.6,9256.5,10350.4,10282.2,10685.7
Peru,7353.1,10960.2,49.1,6407.7,6923.1,7431.2,8086.2,8665.5,9910.9
Colombia,6540.1,10103.7,54.5,5363.2,6231.3,6687.5,7026.6,7979.8,8622.6
Paraguay,6171.9,9371.6,51.8,5712.6,6392.1,6658.4,6818.7,7020.5,7691.6
Suriname,6715.7,8856.1,31.9,4782.1,4988.0,6056.9,5432.4,6852.3,7098.9
Ecuador,6199.0,7574.9,22.2,5469.8,6084.7,6555.5,6772.9,6890.7,7198.6
Bolivia,4233.8,6333.2,49.6,3607.1,4040.0,4250.2,4305.9,4453.4,5106.5
Venezuela,2624.8,4139.7,57.7,1532.6,2052.3,3306.9,3828.6,4539.2,3736.3
