dataset,series,year,value,piaac_change_2012_2023
grades,Harvard: share of course grades that are a flat A,2006,25.5,
grades,Harvard: share of course grades that are a flat A,2007,27.3,
grades,Harvard: share of course grades that are a flat A,2008,28.0,
grades,Harvard: share of course grades that are a flat A,2009,30.0,
grades,Harvard: share of course grades that are a flat A,2010,31.5,
grades,Harvard: share of course grades that are a flat A,2011,33.8,
grades,Harvard: share of course grades that are a flat A,2012,36.8,
grades,Harvard: share of course grades that are a flat A,2013,36.9,
grades,Harvard: share of course grades that are a flat A,2014,38.9,
grades,Harvard: share of course grades that are a flat A,2015,40.3,
grades,Harvard: share of course grades that are a flat A,2016,41.2,
grades,Harvard: share of course grades that are a flat A,2017,43.1,
grades,Harvard: share of course grades that are a flat A,2018,46.7,
grades,Harvard: share of course grades that are a flat A,2019,48.8,
grades,Harvard: share of course grades that are a flat A,2020,50.2,
grades,Harvard: share of course grades that are a flat A,2021,62.8,
grades,Harvard: share of course grades that are a flat A,2022,57.9,
grades,Harvard: share of course grades that are a flat A,2023,58.8,
grades,Harvard: share of course grades that are a flat A,2024,58.8,
grades,Harvard: share of course grades that are a flat A,2025,60.2,
grades,Yale: share of grades that are A or A-,2011,67.23,
grades,Yale: share of grades that are A or A-,2012,67.7,
grades,Yale: share of grades that are A or A-,2013,68.09,
grades,Yale: share of grades that are A or A-,2014,68.97,
grades,Yale: share of grades that are A or A-,2015,69.06,
grades,Yale: share of grades that are A or A-,2016,70.13,
grades,Yale: share of grades that are A or A-,2017,70.89,
grades,Yale: share of grades that are A or A-,2018,71.58,
grades,Yale: share of grades that are A or A-,2019,72.95,
grades,Yale: share of grades that are A or A-,2021,81.97,
grades,Yale: share of grades that are A or A-,2022,79.62,
grades,Yale: share of grades that are A or A-,2023,78.97,
grades,England: share of first-class honours degrees,2011,15.8,
grades,England: share of first-class honours degrees,2019,29.4,
grades,England: share of first-class honours degrees,2021,37.7,
grades,England: share of first-class honours degrees,2022,33.3,
grades,England: share of first-class honours degrees,2023,29.6,
grades,England: share of first-class honours degrees,2024,28.8,
grades,Yale: share of grades that are a flat A,2011,40.5,
grades,Yale: share of grades that are a flat A,2012,41.25,
grades,Yale: share of grades that are a flat A,2013,41.45,
grades,Yale: share of grades that are a flat A,2014,42.15,
grades,Yale: share of grades that are a flat A,2015,42.14,
grades,Yale: share of grades that are a flat A,2016,43.84,
grades,Yale: share of grades that are a flat A,2017,44.59,
grades,Yale: share of grades that are a flat A,2018,45.81,
grades,Yale: share of grades that are a flat A,2019,48.02,
grades,Yale: share of grades that are a flat A,2021,61.31,
grades,Yale: share of grades that are a flat A,2022,57.86,
grades,Yale: share of grades that are a flat A,2023,58.26,
grades,"US, all colleges: share of grades that are A (Rojstaczer & Healy)",2008,43,
grades,"US, all colleges: share of grades that are A (Rojstaczer & Healy)",2013,45,
grades,"UK: share of first-degree qualifiers awarded first-class honours (HESA, UK-wide)",1995,7,
grades,"UK: share of first-degree qualifiers awarded first-class honours (HESA, UK-wide)",2000,8,
grades,"UK: share of first-degree qualifiers awarded first-class honours (HESA, UK-wide)",2005,12,
grades,"UK: share of first-degree qualifiers awarded first-class honours (HESA, UK-wide)",2010,14,
grades,"UK: share of first-degree qualifiers awarded first-class honours (HESA, UK-wide)",2015,22,
grades,"UK: share of first-degree qualifiers awarded first-class honours (HESA, UK-wide)",2016,23,
grades,"UK: share of first-degree qualifiers awarded first-class honours (HESA, UK-wide)",2017,26,
grades,"UK: share of first-degree qualifiers awarded first-class honours (HESA, UK-wide)",2018,28,
grades,"UK: share of first-degree qualifiers awarded first-class honours (HESA, UK-wide)",2019,28,
grades,"UK: share of first-degree qualifiers awarded first-class honours (HESA, UK-wide)",2020,35,
grades,"UK: share of first-degree qualifiers awarded first-class honours (HESA, UK-wide)",2021,36,
grades,"UK: share of first-degree qualifiers awarded first-class honours (HESA, UK-wide)",2022,32,
grades,"UK: share of first-degree qualifiers awarded first-class honours (HESA, UK-wide)",2023,30,
grades,"UK: share of first-degree qualifiers awarded first-class honours (HESA, UK-wide)",2024,29,
grades,"UK: share of first-degree qualifiers awarded first-class honours (HESA, UK-wide)",2025,30,
grades,UK: share of A-level entries graded A* or A (JCQ),1989,15.2,
grades,UK: share of A-level entries graded A* or A (JCQ),1990,15.5,
grades,UK: share of A-level entries graded A* or A (JCQ),1995,17.1,
grades,UK: share of A-level entries graded A* or A (JCQ),2000,19.2,
grades,UK: share of A-level entries graded A* or A (JCQ),2005,23.8,
grades,UK: share of A-level entries graded A* or A (JCQ),2010,27.0,
grades,UK: share of A-level entries graded A* or A (JCQ),2015,25.9,
grades,UK: share of A-level entries graded A* or A (JCQ),2019,25.5,
grades,UK: share of A-level entries graded A* or A (JCQ),2020,38.6,
grades,UK: share of A-level entries graded A* or A (JCQ),2021,45.8,
grades,UK: share of A-level entries graded A* or A (JCQ),2022,36.4,
grades,UK: share of A-level entries graded A* or A (JCQ),2023,27.2,
grades,UK: share of A-level entries graded A* or A (JCQ),2024,27.8,
grades,UK: share of A-level entries graded A* or A (JCQ),2025,28.3,
grades,US: share of ACT test takers with an A average (self-reported HSGPA),2010,40.34,
grades,US: share of ACT test takers with an A average (self-reported HSGPA),2012,41.77,
grades,US: share of ACT test takers with an A average (self-reported HSGPA),2014,42.34,
