month,turkey_pct,eu_pct
1997-01,62.5,
1997-02,87.5,
1997-03,77.8,
1997-04,80.0,
1997-05,80.0,
1997-06,80.0,
1997-07,90.0,
1997-08,100.0,
1997-09,90.9,
1997-10,109.1,
1997-11,108.3,
1997-12,125.0,
1998-01,123.1,
1998-02,106.7,
1998-03,106.3,
1998-04,88.9,
1998-05,88.9,
1998-06,88.9,
1998-07,78.9,
1998-08,75.0,
1998-09,81.0,
1998-10,73.9,
1998-11,72.0,
1998-12,59.3,
1999-01,55.2,
1999-02,51.6,
1999-03,48.5,
1999-04,52.9,
1999-05,50.0,
1999-06,47.1,
1999-07,47.1,
1999-08,45.7,
1999-09,39.5,
1999-10,45.0,
1999-11,41.9,
1999-12,48.8,
2000-01,46.7,
2000-02,51.1,
2000-03,53.1,
2000-04,46.2,
2000-05,49.0,
2000-06,46.0,
2000-07,50.0,
2000-08,49.0,
2000-09,45.3,
2000-10,39.7,
2000-11,39.3,
2000-12,35.9,3.3
2001-01,34.8,3.8
2001-02,26.8,3.9
2001-03,28.0,5.1
2001-04,39.5,5.8
2001-05,47.4,7.1
2001-06,53.4,7.4
2001-07,49.3,7.0
2001-08,46.1,6.5
2001-09,54.5,6.5
2001-10,64.2,6.6
2001-11,70.6,6.1
2001-12,78.2,6.3
2002-01,93.3,7.2
2002-02,96.7,6.4
2002-03,83.3,5.5
2002-04,67.0,4.6
2002-05,52.7,3.1
2002-06,45.5,2.3
2002-07,43.8,2.0
2002-08,45.9,2.1
2002-09,42.9,2.1
2002-10,33.8,1.9
2002-11,30.3,1.9
2002-12,25.2,1.6
2003-01,16.9,0.5
2003-02,18.6,1.0
2003-03,29.0,1.3
2003-04,30.5,1.4
2003-05,38.0,1.5
2003-06,38.7,2.3
2003-07,34.8,2.6
2003-08,32.1,2.8
2003-09,27.6,3.4
2003-10,24.7,3.3
2003-11,22.2,3.5
2003-12,20.6,3.2
2004-01,17.9,3.1
2004-02,14.3,2.7
2004-03,7.5,2.5
2004-04,5.6,2.5
2004-05,1.7,2.5
2004-06,3.5,2.4
2004-07,7.8,2.4
2004-08,10.3,2.0
2004-09,9.2,1.1
2004-10,9.9,1.0
2004-11,7.4,0.8
