year,country,births_per_woman
1960,Nigeria,6.36
1961,Nigeria,6.35
1962,Nigeria,6.36
1963,Nigeria,6.35
1964,Nigeria,6.36
1965,Nigeria,6.37
1966,Nigeria,6.39
1967,Nigeria,6.4
1968,Nigeria,6.42
1969,Nigeria,6.44
1970,Nigeria,6.47
1971,Nigeria,6.53
1972,Nigeria,6.58
1973,Nigeria,6.63
1974,Nigeria,6.7
1975,Nigeria,6.77
1976,Nigeria,6.81
1977,Nigeria,6.86
1978,Nigeria,6.92
1979,Nigeria,6.89
1980,Nigeria,6.85
1981,Nigeria,6.82
1982,Nigeria,6.8
1983,Nigeria,6.78
1984,Nigeria,6.7
1985,Nigeria,6.62
1986,Nigeria,6.56
1987,Nigeria,6.5
1988,Nigeria,6.5
1989,Nigeria,6.49
1990,Nigeria,6.46
1991,Nigeria,6.43
1992,Nigeria,6.39
1993,Nigeria,6.35
1994,Nigeria,6.32
1995,Nigeria,6.27
1996,Nigeria,6.22
1997,Nigeria,6.14
1998,Nigeria,6.07
1999,Nigeria,6.08
2000,Nigeria,6.12
2001,Nigeria,6.13
2002,Nigeria,6.12
2003,Nigeria,6.1
2004,Nigeria,6.09
2005,Nigeria,6.06
2006,Nigeria,6.05
2007,Nigeria,6.03
2008,Nigeria,6.02
2009,Nigeria,5.99
2010,Nigeria,5.95
2011,Nigeria,5.89
2012,Nigeria,5.8
2013,Nigeria,5.69
2014,Nigeria,5.62
2015,Nigeria,5.5
2016,Nigeria,5.34
2017,Nigeria,5.18
2018,Nigeria,5.02
2019,Nigeria,4.86
2020,Nigeria,4.7
2021,Nigeria,4.64
2022,Nigeria,4.55
2023,Nigeria,4.48
2024,Nigeria,4.38
1960,Egypt,6.79
1961,Egypt,6.76
1962,Egypt,6.71
1963,Egypt,6.65
1964,Egypt,6.54
1965,Egypt,6.39
1966,Egypt,6.31
1967,Egypt,6.25
1968,Egypt,6.19
1969,Egypt,6.12
1970,Egypt,6.06
1971,Egypt,5.99
1972,Egypt,5.93
1973,Egypt,5.84
1974,Egypt,5.78
1975,Egypt,5.75
1976,Egypt,5.73
1977,Egypt,5.68
1978,Egypt,5.63
1979,Egypt,5.57
1980,Egypt,5.49
1981,Egypt,5.37
1982,Egypt,5.33
1983,Egypt,5.31
1984,Egypt,5.21
1985,Egypt,5.12
1986,Egypt,5.0
1987,Egypt,4.91
1988,Egypt,4.83
1989,Egypt,4.68
1990,Egypt,4.51
1991,Egypt,4.32
1992,Egypt,4.15
1993,Egypt,3.99
