year,violent_crime_rate_per_100k
1960,160.9
1961,158.1
1962,162.3
1963,168.2
1964,190.6
1965,200.2
1966,220.0
1967,253.2
1968,298.4
1969,328.7
1970,363.5
1971,396.0
1972,401.0
1973,417.4
1974,461.1
1975,487.8
1976,467.8
1977,475.9
1978,497.8
1979,548.9
1980,596.6
1981,594.3
1982,571.1
1983,537.7
1984,539.2
1985,556.6
1986,620.1
1987,609.7
1988,637.2
1989,663.1
1990,731.8
1991,758.1
1992,757.5
1993,746.8
1994,713.6
1995,684.5
1996,636.6
1997,611.0
1998,566.4
1999,523.0
2000,506.5
2001,504.5
2002,494.4
2003,475.8
2004,463.2
2005,469.0
2006,473.6
2007,466.9
2008,457.5
2009,431.9
2010,404.5
2011,387.1
2012,387.8
2013,379.1
2014,372.0
2015,384.6
2016,397.5
2017,394.9
2018,383.4
2019,379.4
2020,398.5
2021,387.0
2022,377.1
2023,363.8
2024,362.9
2025,327.6
